site,hostname,ip_address,position,model,serial_number,port_location,vendor,notes,end_of_sale,end_of_support
AZ-Scottsdale-HQ-Corp,,,Module,,00000MTC133904Z0,Transceiver(slot:9-port:11),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,AVC23222566     ,Transceiver(slot:9-port:21),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,00000MTC141303SV,Transceiver(slot:9-port:22),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,AGM2042464S     ,Transceiver(slot:9-port:23),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,MTC22380Q2J     ,Transceiver(slot:9-port:25),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,00000MTC141303R4,Transceiver(slot:9-port:26),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,AGM18212093     ,Transceiver(slot:9-port:27),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,AGM184749FH     ,Transceiver(slot:9-port:28),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,00000MTC141303RJ,Transceiver(slot:9-port:29),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,00000MTC141303CT,Transceiver(slot:9-port:30),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,AGM142622R9     ,Transceiver(slot:9-port:31),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,AGM18212290     ,Transceiver(slot:9-port:35),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,FNS14141W34     ,Transceiver(slot:9-port:39),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,FNS14141W31     ,Transceiver(slot:9-port:40),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,FNS14141W4L     ,Transceiver(slot:9-port:41),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,FNS14141W4F     ,Transceiver(slot:9-port:42),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,FNS14141W2X     ,Transceiver(slot:9-port:43),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,00000MTC133904VV,Transceiver(slot:9-port:45),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,00000MTC141303TT,Transceiver(slot:9-port:46),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,00000MTC141303TW,Transceiver(slot:9-port:47),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,AGM12481529     ,Transceiver(slot:9-port:48),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,MTC22380Q1N     ,Transceiver(slot:10-port:3),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,00000MTC141303RF,Transceiver(slot:10-port:7),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,MTC22380WQ9     ,Transceiver(slot:10-port:8),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,MTC22380Q12     ,Transceiver(slot:10-port:27),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,00000MTC1611070K,Transceiver(slot:10-port:28),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,AGM151125M9     ,Transceiver(slot:10-port:29),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,00000MTC161405BF,Transceiver(slot:10-port:30),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,00000MTC1611074P,Transceiver(slot:10-port:31),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,00000MTC161109RN,Transceiver(slot:10-port:32),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,AGM142622S9     ,Transceiver(slot:10-port:33),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,AGM201541E4     ,Transceiver(slot:10-port:34),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,FNS12420M0T     ,Transceiver(slot:10-port:37),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,AGM182927AE     ,Transceiver(slot:10-port:38),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,AGM182927AJ     ,Transceiver(slot:10-port:39),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,AGM182927AF     ,Transceiver(slot:10-port:40),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,00000MTC161107SV,Transceiver(slot:10-port:41),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,00000MTC1611073B,Transceiver(slot:10-port:42),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,00000MTC16140592,Transceiver(slot:10-port:43),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,AGM18474DQK     ,Transceiver(slot:10-port:44),Cisco,,,
AZ-Scottsdale-HQ-Corp,,,Module,,FNS0837H0FY     ,Transceiver(slot:10-port:45),Cisco,,,
