Site Name,Site ID,Circuit Purpose,DSR Provider,DSR Provider (Normalized),ARIN Provider,ARIN Provider (Normalized),Match Status,Match Score,Match Reason,DSR Speed,DSR Cost,DSR IP,Matched WAN Port,WAN1 IP,WAN1 ARIN Provider,WAN2 IP,WAN2 ARIN Provider
ARL 05,ARL 05,Primary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,1000.0M x 200.0M,$165.00,107.140.226.113,WAN1,107.140.226.113,AT&T,199.38.125.142,Ritter Communications
ARL 05,ARL 05- B,Secondary,Ritter Communications,ritter communications,Ritter Communications,ritter communications,Match,95,Canonical match: Ritter Communications,250.0M x 250.0M,$194.99,199.38.125.142,WAN2,107.140.226.113,AT&T,199.38.125.142,Ritter Communications
ARL 06,ARL 06,Primary,Altice West,altice west,Optimum,optimum,Match,95,Canonical match: Optimum,300.0M x 30.0M,$151.12,66.76.87.145,WAN2 (Provider Match),65.57.63.26,CenturyLink,74.194.6.150,Optimum
ARL 06,ARL 06 - B,Secondary,Brightspeed,brightspeed,CenturyLink,centurylink,No Match,29,"Low similarity (scores: 18, 29, 18)",100.0M x 100.0M,$666.00,65.57.63.26,WAN1,65.57.63.26,CenturyLink,74.194.6.150,Optimum
ARO 01,ARO 01,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,174.76.168.174,WAN2,108.252.38.25,AT&T,174.76.168.174,Cox Communications
ARO 01,ARO 01 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,300.0M x 300.0M,$105.01,108.252.38.25,WAN1,108.252.38.25,AT&T,174.76.168.174,Cox Communications
ARO 02,ARO 02,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,98.187.167.3,WAN2,104.3.166.57,AT&T,98.187.167.3,Cox Communications
ARO 02,ARO 02 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,300.0M x 300.0M,$105.01,104.3.166.57,WAN1,104.3.166.57,AT&T,98.187.167.3,Cox Communications
ARO 03,ARO 03,Primary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,500.0M x 100.0M,$215.02,104.3.161.209,WAN1,104.3.161.209,AT&T,72.196.88.47,Cox Communications
ARO 03,ARO 03 -B,Secondary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,72.196.88.47,WAN2,104.3.161.209,AT&T,72.196.88.47,Cox Communications
ARO 04,ARO 04,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,98.187.167.138,WAN1,98.187.167.138,Cox Communications,99.3.51.41,AT&T
ARO 04,ARO 04 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,300.0M x 300.0M,$105.01,99.3.51.41,WAN2,98.187.167.138,Cox Communications,99.3.51.41,AT&T
ARO 05,ARO 05,Primary,Yelcot Communications,yelcot communications,YELCOT TELEPHONE COMPANY,yelcot telephone company,Possible Match,62,"Low confidence (scores: 53, 56, 62)",300.0M x 30.0M,$225.00,207.66.103.214,WAN1,207.66.103.214,YELCOT TELEPHONE COMPANY,69.195.29.6,Ritter Communications
