Site Name,Site ID,Circuit Purpose,DSR Provider,DSR Provider (Normalized),ARIN Provider,ARIN Provider (Normalized),Match Status,Match Score,Match Reason,DSR Speed,DSR Cost,DSR IP,Matched WAN Port,WAN1 IP,WAN1 ARIN Provider,WAN2 IP,WAN2 ARIN Provider
GAA 25,GAA 25- B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,1000.0M x 1000.0M,$165.01,162.235.81.185,WAN1,162.235.81.185,AT&T,50.251.137.177,Comcast
GAA 26,GAA 26,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,72.212.183.137,WAN1,72.212.183.137,Cox Communications,162.205.235.113,AT&T
GAA 26,GAA 26 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,300.0M x 300.0M,$105.01,162.205.235.113,WAN2,72.212.183.137,Cox Communications,162.205.235.113,AT&T
GAA 27,GAA 27- B,Secondary,Comcast,comcast,AT&T,at&t,No Match,57,"Low similarity (scores: 36, 57, 36)",1000.0M x 1000.0M,$165.01,162.235.50.185,WAN1,162.235.50.185,AT&T,96.67.122.225,Comcast
GAA 28,GAA 28- B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,300.0M x 300.0M,$105.01,99.8.195.153,WAN2,96.77.72.169,Comcast,99.8.195.153,AT&T
GAA 29,GAA 29,Primary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,1000.0M x 1000.0M,$165.01,104.180.210.185,WAN1,104.180.210.185,AT&T,64.139.67.233,Comcast
GAA 29,GAA 29- B,Secondary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,500.0M x 30.0M,$175.56,64.139.67.233,WAN2,104.180.210.185,AT&T,64.139.67.233,Comcast
GAA 30,GAA 30- B,Secondary,Comcast,comcast,AT&T,at&t,No Match,57,"Low similarity (scores: 36, 57, 36)",1000.0M x 1000.0M,$165.01,107.216.87.73,WAN1,107.216.87.73,AT&T,96.73.252.169,Comcast
GAA 31,GAA 31,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$244.45,47.46.148.246,WAN1,47.46.148.246,Charter Communications,166.168.180.16,Verizon
GAA 32,GAA 32,Primary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,500.0M x 30.0M,$175.56,96.91.136.237,WAN1,96.91.136.237,Comcast,104.61.89.193,AT&T
GAA 32,GAA 32 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,300.0M x 300.0M,$105.01,104.61.89.193,WAN2,96.91.136.237,Comcast,104.61.89.193,AT&T
GAA 33,GAA 33,Primary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,300.0M x 30.0M,$186.18,96.73.212.193,WAN2,162.230.155.225,AT&T,96.73.212.193,Comcast
GAA 33,GAA 33 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,1000.0M x 1000.0M,$165.01,162.230.155.225,WAN1,162.230.155.225,AT&T,96.73.212.193,Comcast
GAA 34,GAA 34,Primary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,600.0M x 35.0M,$234.45,96.89.79.69,WAN2,108.209.98.49,AT&T,96.89.79.69,Comcast
GAA 34,GAA 34 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,1000.0M x 1000.0M,$165.01,108.209.98.49,WAN1,108.209.98.49,AT&T,96.89.79.69,Comcast
GAA 35,GAA 35,Primary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,750.0M x 35.0M,$234.45,50.248.240.73,WAN2,70.228.103.225,AT&T,50.248.240.73,Comcast
GAA 35,GAA 35 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,1000.0M x 1000.0M,$165.01,70.228.103.225,WAN1,70.228.103.225,AT&T,50.248.240.73,Comcast
GAA 36,GAA 36,Primary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,300.0M x 30.0M,$175.56,96.94.172.105,WAN2,108.232.191.161,AT&T,96.94.172.105,Comcast
GAA 36,GAA 36 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,1000.0M x 1000.0M,$165.01,108.232.191.161,WAN1,108.232.191.161,AT&T,96.94.172.105,Comcast
GAA 37,GAA 37,Primary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,300.0M x 25.0M,$186.18,173.160.71.21,WAN2,107.222.170.169,AT&T,173.160.71.21,Comcast
GAA 37,GAA 37 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,300.0M x 300.0M,$105.01,107.222.170.169,WAN1,107.222.170.169,AT&T,173.160.71.21,Comcast
GAA 38,GAA 38,Primary,Cox Business/BOI,cox business/boi,Cox Communications,cox communications,Match,100,Special case: cox <-> cox communications,300.0M x 30.0M,$266.67,70.186.63.72,WAN1,70.186.63.72,Cox Communications,67.216.148.19,"Hargray Communications Group, Inc."
GAA 38,GAA 38 -B,Secondary,EB2-Hargray Cable,eb2-hargray cable,"Hargray Communications Group, Inc.",hargray communications group inc,Possible Match,69,"Low confidence (scores: 41, 69, 45)",300.0M x 300.0M,$248.00,67.216.148.19,WAN2,70.186.63.72,Cox Communications,67.216.148.19,"Hargray Communications Group, Inc."
GAA 39,GAA 39,Primary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,300.0M x 30.0M,$186.18,50.215.240.117,WAN1,50.215.240.117,Comcast,104.184.145.225,AT&T
GAA 39,GAA 39 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,300.0M x 300.0M,$105.01,104.184.145.225,WAN2,50.215.240.117,Comcast,104.184.145.225,AT&T
GAA 40,GAA 40,Primary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,300.0M x 25.0M,$186.18,50.243.202.233,WAN2,104.184.149.249,AT&T,50.243.202.233,Comcast
GAA 40,GAA 40 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,300.0M x 300.0M,$105.01,104.184.149.249,WAN1,104.184.149.249,AT&T,50.243.202.233,Comcast
GAA 41,GAA 41,Primary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,300.0M x 30.0M,$186.18,71.25.170.29,WAN1,71.25.170.29,Comcast,107.85.155.52,AT&T
GAA 42,GAA 42,Primary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,750.0M x 35.0M,$234.45,96.77.126.169,WAN1,96.77.126.169,Comcast,166.184.33.78,AT&T
GAA 43,,Primary,AT&T,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,100.0M x 100.0M,$830.78,,WAN1 (Provider Match),12.51.111.50,AT&T,96.38.224.149,Charter Communications
GAA 43,GAA 43,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,1000.0M x 50.0M,$350.00,96.38.224.146,WAN2 (Provider Match),12.51.111.50,AT&T,96.38.224.149,Charter Communications
GAA 44,GAA 44,Primary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,300.0M x 30.0M,$186.18,173.160.65.217,WAN1,173.160.65.217,Comcast,66.217.86.150,Windstream Communications LLC
GAA 44,GAA 44 -B,Secondary,EB2-Windstream Fiber,eb2-windstream,Windstream Communications LLC,windstream communications llc,Match,100,Special case: windstream <-> windstream communications,500.0M x 500.0M,$209.00,66.217.86.150,WAN2,173.160.65.217,Comcast,66.217.86.150,Windstream Communications LLC
GAA 45,GAA 45,Primary,Mediacom/BOI,mediacom/boi,Mediacom Communications Corporation,mediacom communications corporation,Match,100,Special case: mediacom <-> mediacom communications,300.0M x 20.0M,$244.69,192.119.222.34,WAN2,99.28.20.49,AT&T,192.119.222.34,Mediacom Communications Corporation
GAA 45,GAA 45 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,1000.0M x 1000.0M,$165.01,99.28.20.49,WAN1,99.28.20.49,AT&T,192.119.222.34,Mediacom Communications Corporation
GAA 46,GAA 46,Primary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,2000.0M x 2000.0M,$240.04,99.14.165.1,WAN2,108.166.159.78,Mediacom Communications Corporation,99.14.165.1,AT&T
GAA 46,GAA 46- B,Secondary,Mediacom/BOI,mediacom/boi,Mediacom Communications Corporation,mediacom communications corporation,Match,100,Special case: mediacom <-> mediacom communications,1000.0M x 30.0M,$353.34,108.166.159.78,WAN1,108.166.159.78,Mediacom Communications Corporation,99.14.165.1,AT&T
GAACALLCNTR,,Primary,AT&T,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,300.0M x 300.0M,,,WAN1 (Provider Match),104.184.151.49,AT&T,47.46.162.82,Charter Communications
GAACALLCNTR,,Secondary,Charter Communications,charter communications,Charter Communications,charter communications,Match,100,Special case: charter <-> charter communications,100.0M x 30.0M,,,WAN2 (Provider Match),104.184.151.49,AT&T,47.46.162.82,Charter Communications
GAACALLCTR,GAACALLCTR,Primary,Spectrum,spectrum,,,No Match,0,No WAN1 ARIN data,750.0M x 35.0M,$244.45,47.46.162.82,Unknown,,,,
GAACALLCTR,GAACALLCTR -B,Secondary,AT&T Broadband II,at&t,,,No Match,0,No WAN1 ARIN data,300.0M x 300.0M,$105.01,104.184.151.49,Unknown,,,,
GAA W00,,Primary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,300.0M x 30.0M,,,WAN1 (Provider Match),45.22.51.193,AT&T,107.85.128.174,AT&T
GAE 01,GAE 01,Primary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,750.0M x 35.0M,$234.45,74.94.242.169,WAN1,74.94.242.169,Comcast,108.175.205.9,"Hargray Communications Group, Inc."
GAE 01,GAE 01 -B,Secondary,EB2-Hargray Cable,eb2-hargray cable,"Hargray Communications Group, Inc.",hargray communications group inc,Possible Match,69,"Low confidence (scores: 41, 69, 45)",300.0M x 300.0M,$248.00,108.175.205.9,WAN2,74.94.242.169,Comcast,108.175.205.9,"Hargray Communications Group, Inc."
GAE 02,GAE 02,Primary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,300.0M x 30.0M,$186.18,50.77.1.249,WAN1,50.77.1.249,Comcast,108.209.99.25,AT&T
GAE 02,GAE 02 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,300.0M x 300.0M,$105.01,108.209.99.25,WAN2,50.77.1.249,Comcast,108.209.99.25,AT&T
GAE 03,GAE 03,Primary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,300.0M x 30.0M,$186.18,173.163.230.157,WAN1,173.163.230.157,Comcast,99.111.69.89,AT&T
GAE 03,GAE 03 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,300.0M x 300.0M,$105.01,99.111.69.89,WAN2,173.163.230.157,Comcast,99.111.69.89,AT&T
GAN 01,GAN 01,Primary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,750.0M x 35.0M,$234.45,75.146.81.49,WAN1 (Provider Match),75.146.81.50,Comcast,162.230.232.130,AT&T
GAN 01,GAN 01 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,300.0M x 300.0M,$105.01,162.230.232.129,WAN2 (Provider Match),75.146.81.50,Comcast,162.230.232.130,AT&T
GAS 01,GAS 01,Primary,Mediacom/BOI,mediacom/boi,Mediacom Communications Corporation,mediacom communications corporation,Match,100,Special case: mediacom <-> mediacom communications,1000.0M x 30.0M,$353.34,74.84.120.114,WAN2,99.27.27.161,AT&T,74.84.120.114,Mediacom Communications Corporation
GAS 01,GAS 01 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,300.0M x 300.0M,$105.01,99.27.27.161,WAN1,99.27.27.161,AT&T,74.84.120.114,Mediacom Communications Corporation
IAC 01,IAC 01,Primary,Mediacom/BOI,mediacom/boi,Mediacom Communications Corporation,mediacom communications corporation,Match,100,Special case: mediacom <-> mediacom communications,1000.0M x 30.0M,$353.34,45.59.13.82,WAN1,45.59.13.82,Mediacom Communications Corporation,63.152.70.173,CenturyLink
IAC 01,IAC 01- B,Secondary,EB2-Lumen DSL,eb2-lumen,Mediacom Communications Corporation,mediacom communications corporation,No Match,36,"Low similarity (scores: 14, 36, 14)",140.0M x 20.0M,$151.00,63.228.164.113,Unknown,45.59.13.82,Mediacom Communications Corporation,63.152.70.173,CenturyLink
IAC 02,IAC 02,Primary,Mediacom/BOI,mediacom/boi,Mediacom Communications Corporation,mediacom communications corporation,Match,100,Special case: mediacom <-> mediacom communications,1000.0M x 30.0M,$353.34,72.255.120.130,WAN1,72.255.120.130,Mediacom Communications Corporation,207.191.192.33,ImOn Communications
IAC 02,IAC 02- B,Secondary,ImOn Communications,imon communications,ImOn Communications,imon communications,Match,95,Canonical match: ImOn Communications,100.0M x 100.0M,$199.99,207.191.192.33,WAN2,72.255.120.130,Mediacom Communications Corporation,207.191.192.33,ImOn Communications
IAD 01,IAD 01,Primary,Mediacom/BOI,mediacom/boi,Mediacom Communications Corporation,mediacom communications corporation,Match,100,Special case: mediacom <-> mediacom communications,1000.0M x 30.0M,$338.30,192.119.207.250,WAN1,192.119.207.250,Mediacom Communications Corporation,149.154.7.87,Metronet
IAD 01,IAD 01- B,Secondary,Metronet,metronet,Metronet,metronet,Match,95,Canonical match: Metronet,300.0M x 300.0M,$139.95,149.154.7.87,WAN2,192.119.207.250,Mediacom Communications Corporation,149.154.7.87,Metronet
IAD 02,IAD 02,Primary,Mediacom/BOI,mediacom/boi,Mediacom Communications Corporation,mediacom communications corporation,Match,100,Special case: mediacom <-> mediacom communications,300.0M x 20.0M,$255.56,72.255.109.246,WAN2,149.154.7.70,Metronet,72.255.109.246,Mediacom Communications Corporation
IAD 02,IAD 02- B,Secondary,MetroNet,metronet,Metronet,metronet,Match,95,Canonical match: MetroNet,1000.0M x 1000.0M,$289.95,149.154.7.70,WAN1,149.154.7.70,Metronet,72.255.109.246,Mediacom Communications Corporation
IAD 03,IAD 03,Primary,EB2-Centurylink Fiber,eb2-centurylink,CenturyLink,centurylink,Match,95,Canonical match: CenturyLink,500.0M x 100.0M,$230.00,67.41.108.209,WAN1 (Provider Match),67.41.108.214,CenturyLink,107.80.168.77,AT&T
IAD 04,IAD 04,Primary,Mediacom/BOI,mediacom/boi,Mediacom Communications Corporation,mediacom communications corporation,Match,100,Special case: mediacom <-> mediacom communications,1000.0M x 30.0M,$353.34,72.255.116.186,WAN1,72.255.116.186,Mediacom Communications Corporation,149.154.7.169,Metronet
IAD 04,IAD 04- B,Secondary,Metronet,metronet,Metronet,metronet,Match,95,Canonical match: Metronet,300.0M x 300.0M,$139.95,149.154.7.169,WAN2,72.255.116.186,Mediacom Communications Corporation,149.154.7.169,Metronet
IAD 05,IAD 05,Primary,Mediacom/BOI,mediacom/boi,Mediacom Communications Corporation,mediacom communications corporation,Match,100,Special case: mediacom <-> mediacom communications,1000.0M x 30.0M,$353.34,107.167.215.206,WAN1,107.167.215.206,Mediacom Communications Corporation,149.154.5.20,Metronet
IAD 05,IAD 05 -B,Secondary,Metronet,metronet,Metronet,metronet,Match,95,Canonical match: Metronet,300.0M x 300.0M,$149.95,149.154.5.20,WAN2,107.167.215.206,Mediacom Communications Corporation,149.154.5.20,Metronet
IAF 01,IAF 01,Primary,Mediacom/BOI,mediacom/boi,Mediacom Communications Corporation,mediacom communications corporation,Match,100,Special case: mediacom <-> mediacom communications,300.0M x 20.0M,$244.69,198.40.226.150,WAN2,64.59.201.241,Fort Dodge Fiber,198.40.226.150,Mediacom Communications Corporation
IAF 01,IAF 01- B,Secondary,Fort Dodge Fiber,fort dodge,Fort Dodge Fiber,fort dodge,Match,95,Canonical match: Fort Dodge Fiber,250.0M x 250.0M,$125.00,64.59.201.241,WAN1,64.59.201.241,Fort Dodge Fiber,198.40.226.150,Mediacom Communications Corporation
IAI 01,IAI 01,Primary,Mediacom/BOI,mediacom/boi,Mediacom Communications Corporation,mediacom communications corporation,Match,100,Special case: mediacom <-> mediacom communications,1000.0M x 30.0M,$353.34,104.201.99.58,WAN2,46.110.90.149,Metronet,104.201.99.58,Mediacom Communications Corporation
IAI 01,IAI 01 -B,Secondary,Metronet,metronet,Metronet,metronet,Match,95,Canonical match: Metronet,300.0M x 300.0M,$149.95,46.110.90.149,WAN1,46.110.90.149,Metronet,104.201.99.58,Mediacom Communications Corporation
IAN 01,IAN 01,Primary,Mediacom/BOI,mediacom/boi,Mediacom Communications Corporation,mediacom communications corporation,Match,100,Special case: mediacom <-> mediacom communications,1000.0M x 30.0M,$353.34,72.255.114.186,WAN1,72.255.114.186,Mediacom Communications Corporation,24.149.7.35,"The Municipal Communications Utility of the City of Cedar Falls, Iowa"
IAN 01,IAN 01 -B,Secondary,Cedar Falls Utilities,cedar falls utilities,"The Municipal Communications Utility of the City of Cedar Falls, Iowa",the municipal communications utility of the city of cedar falls iowa,Possible Match,70,"Low confidence (scores: 34, 70, 40)",1000.0M x 1000.0M,$92.50,24.149.7.35,WAN2,72.255.114.186,Mediacom Communications Corporation,24.149.7.35,"The Municipal Communications Utility of the City of Cedar Falls, Iowa"
IAN 02,IAN 02,Primary,Mediacom/BOI,mediacom/boi,Mediacom Communications Corporation,mediacom communications corporation,Match,100,Special case: mediacom <-> mediacom communications,1000.0M x 30.0M,$353.34,63.142.61.150,WAN1,63.142.61.150,Mediacom Communications Corporation,65.103.56.177,CenturyLink
IAN 02,IAN 02,Secondary,Century Link/Qwest,century link/qwest,CenturyLink,centurylink,Match,91,"Fuzzy match (scores: 76, 91, 76)",100.0M x 10.0M,$189.99,65.103.56.177,WAN2,63.142.61.150,Mediacom Communications Corporation,65.103.56.177,CenturyLink
IAN 03,IAN 03,Primary,Mediacom/BOI,mediacom/boi,Mediacom Communications Corporation,mediacom communications corporation,Match,100,Special case: mediacom <-> mediacom communications,1000.0M x 30.0M,$353.34,74.84.121.118,WAN1,74.84.121.118,Mediacom Communications Corporation,107.84.135.149,Unknown
IAQ 01,IAQ 01,Primary,Mediacom/BOI,mediacom/boi,Mediacom Communications Corporation,mediacom communications corporation,Match,100,Special case: mediacom <-> mediacom communications,300.0M x 20.0M,$255.56,45.59.5.34,WAN1,45.59.5.34,Mediacom Communications Corporation,71.33.87.213,CenturyLink
IAQ 02,IAQ 02,Primary,Mediacom/BOI,mediacom/boi,Mediacom Communications Corporation,mediacom communications corporation,Match,100,Special case: mediacom <-> mediacom communications,1000.0M x 30.0M,$353.34,72.255.79.154,WAN1,72.255.79.154,Mediacom Communications Corporation,195.252.226.122,DVNPIAAAG03 public /32 pools
IAQ 02,IAQ 02 -B,Secondary,MetroNet,metronet,DVNPIAAAG03 public /32 pools,dvnpiaaag03 public /32 pools,No Match,18,"Low similarity (scores: 6, 18, 6)",300.0M x 300.0M,$129.95,195.252.226.122,WAN2,72.255.79.154,Mediacom Communications Corporation,195.252.226.122,DVNPIAAAG03 public /32 pools
IAS 01,IAS 01,Primary,Sparklight,sparklight,"CABLE ONE, INC.",cable one inc,No Match,30,"Low similarity (scores: 26, 30, 26)",300.0M x 30.0M,$248.75,24.119.182.98,WAN2,149.154.3.162,Metronet,24.119.182.98,"CABLE ONE, INC."
IAS 01,IAS 01- B,Secondary,MetroNet,metronet,Metronet,metronet,Match,95,Canonical match: MetroNet,1000.0M x 1000.0M,$269.95,149.154.3.162,WAN1,149.154.3.162,Metronet,24.119.182.98,"CABLE ONE, INC."
IDB 01,IDB 01,Primary,Cable One ,cable one,"Cable One, Inc.",cable one inc,Match,95,Canonical match: Cable One,300.0M x 50.0M,$229.99,96.18.66.90,WAN1 (Provider Match),184.155.134.143,"Cable One, Inc.",70.56.207.89,CenturyLink
IDB 01,IDB 01- B,Secondary,EB2-Centurylink DSL,eb2-centurylink,CenturyLink,centurylink,Match,95,Canonical match: CenturyLink,100.0M x 10.0M,$128.00,70.56.207.89,WAN2,184.155.134.143,"Cable One, Inc.",70.56.207.89,CenturyLink
IDB 03,IDB 03,Primary,EB2-CableOne Cable,eb2-cableone cable,"CABLE ONE, INC.",cable one inc,Match,95,Canonical match: Cable One,300.0M x 30.0M,$335.00,69.92.163.142,WAN1,69.92.163.142,"CABLE ONE, INC.",70.56.207.57,CenturyLink
IDB 03,IDB 03- B,Secondary,EB2-Centurylink DSL,eb2-centurylink,CenturyLink,centurylink,Match,95,Canonical match: CenturyLink,100.0M x 10.0M,$128.00,70.56.207.57,WAN2,69.92.163.142,"CABLE ONE, INC.",70.56.207.57,CenturyLink
IDB 04,IDB 04,Primary,CenturyLink Fiber Plus,centurylinkplus,CenturyLink,centurylink,Match,95,Canonical match: CenturyLink,500.0M x 500.0M,$529.00,65.140.187.146,WAN2,72.24.12.254,"CABLE ONE, INC.",65.140.187.146,CenturyLink
IDB 04,IDB 04 -B,Secondary,EB2-CableOne Cable,eb2-cableone cable,"CABLE ONE, INC.",cable one inc,Match,95,Canonical match: Cable One,300.0M x 30.0M,$335.00,72.24.12.254,WAN1,72.24.12.254,"CABLE ONE, INC.",65.140.187.146,CenturyLink
IDB 05,IDB 05,Primary,EB2-CableOne Cable,eb2-cableone cable,"CABLE ONE, INC.",cable one inc,Match,95,Canonical match: Cable One,300.0M x 30.0M,$335.00,24.117.252.114,WAN1,24.117.252.114,"CABLE ONE, INC.",70.56.203.209,CenturyLink
IDB 05,IDB 05- B,Secondary,EB2-Centurylink DSL,eb2-centurylink,CenturyLink,centurylink,Match,95,Canonical match: CenturyLink,100.0M x 10.0M,$128.00,70.56.203.209,WAN2,24.117.252.114,"CABLE ONE, INC.",70.56.203.209,CenturyLink
IDB 06,IDB 06,Primary,EB2-CableOne Cable,eb2-cableone cable,"CABLE ONE, INC.",cable one inc,Match,95,Canonical match: Cable One,300.0M x 50.0M,$337.00,24.116.129.22,WAN2,67.215.46.242,Direct Communications Cable LLC,24.116.129.22,"CABLE ONE, INC."
IDB 06,IDB 06 -B,Secondary,Direct Communications,direct communications,Direct Communications Cable LLC,direct communications cable llc,Match,100,"Fuzzy match (scores: 81, 100, 81)",500.0M x 500.0M,$184.95,67.215.46.242,WAN1,67.215.46.242,Direct Communications Cable LLC,24.116.129.22,"CABLE ONE, INC."
IDB 07,IDB 07,Primary,EB2-CableOne Cable,eb2-cableone cable,"CABLE ONE, INC.",cable one inc,Match,95,Canonical match: Cable One,300.0M x 30.0M,$335.00,24.117.183.106,WAN1,24.117.183.106,"CABLE ONE, INC.",168.103.46.13,CenturyLink
IDB 07,IDB 07- B,Secondary,EB2-Centurylink DSL,eb2-centurylink,CenturyLink,centurylink,Match,95,Canonical match: CenturyLink,80.0M x 10.0M,$128.00,70.56.207.129,WAN2 (Provider Match),24.117.183.106,"CABLE ONE, INC.",168.103.46.13,CenturyLink
IDN 01,IDN 01,Primary,Spectrum,spectrum,Charter Communications,charter communications,Match,95,Canonical match: Charter Communications,750.0M x 35.0M,$244.45,24.123.118.30,WAN1,24.123.118.30,Charter Communications,50.37.227.70,Ziply Fiber
IDN 01,IDN 01 -B,Secondary,EB2-Ziply Fiber,eb2-ziply,Ziply Fiber,ziply,Match,100,"Fuzzy match (scores: 71, 100, 71)",500.0M x 500.0M,$168.00,50.37.227.70,WAN2,24.123.118.30,Charter Communications,50.37.227.70,Ziply Fiber
ILC_00,,Primary,Comcast,comcast,Comcast,comcast,Match,95,Canonical match: Comcast,300.0M x 30.0M,,,WAN1 (Provider Match),96.74.249.185,Comcast,107.209.6.145,AT&T
ILC_00,,Secondary,AT&T,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,300.0M x 300.0M,,,WAN2 (Provider Match),96.74.249.185,Comcast,107.209.6.145,AT&T
ILC00,ILC00,Primary,Comcast Workplace,comcast workplace,,,No Match,0,No WAN1 ARIN data,300.0M x 30.0M,$175.56,96.74.249.185,Unknown,,,,
ILC00,ILC00 -B,Secondary,AT&T Broadband II,at&t,,,No Match,0,No WAN1 ARIN data,300.0M x 300.0M,$105.01,107.209.6.145,Unknown,,,,
ILC 01,ILC 01- B,Secondary,Comcast,comcast,AT&T,at&t,No Match,57,"Low similarity (scores: 36, 57, 36)",1000.0M x 1000.0M,$165.01,104.12.155.57,WAN1,104.12.155.57,AT&T,96.74.211.233,Comcast
ILC 02,ILC 02- B,Secondary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,750.0M x 35.0M,$234.45,96.81.226.89,WAN2,96.72.114.241,Comcast,96.81.226.89,Comcast
ILC 03,ILC 03,Primary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,300.0M x 25.0M,$186.18,173.15.46.121,WAN2,99.18.8.41,AT&T,173.15.46.121,Comcast
ILC 03,ILC 03- B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,1000.0M x 1000.0M,$165.01,99.18.8.41,WAN1,99.18.8.41,AT&T,173.15.46.121,Comcast
ILC 04,ILC 04- B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,1000.0M x 1000.0M,$150.00,NaN,WAN1 (Provider Match),108.91.86.37,AT&T,108.91.86.37,AT&T
ILC 05,ILC 05,Primary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,750.0M x 35.0M,$234.45,50.249.209.161,WAN1,50.249.209.161,Comcast,107.134.174.161,AT&T
ILC 05,ILC 05 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,300.0M x 300.0M,$105.01,107.134.174.161,WAN2,50.249.209.161,Comcast,107.134.174.161,AT&T
ILC 06,ILC 06- B,Secondary,Comcast,comcast,AT&T,at&t,No Match,57,"Low similarity (scores: 36, 57, 36)",1000.0M x 1000.0M,$165.01,108.91.15.137,WAN1,108.91.15.137,AT&T,74.94.114.85,Comcast
ILC 07,ILC 07,Primary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,600.0M x 35.0M,$234.45,96.81.204.185,WAN2,99.35.135.153,AT&T,96.81.204.185,Comcast
ILC 07,ILC 07- B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,1000.0M x 200.0M,$165.00,99.35.135.153,WAN1,99.35.135.153,AT&T,96.81.204.185,Comcast
ILC 08,ILC 08,Primary,Comcast Workplace,comcast workplace,Comcast,comcast,Match,95,Canonical match: Comcast,600.0M x 35.0M,$234.45,75.146.110.61,WAN1,75.146.110.61,Comcast,75.9.255.233,AT&T
ILC 08,ILC 08 -B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,300.0M x 300.0M,$105.01,75.9.255.233,WAN2,75.146.110.61,Comcast,75.9.255.233,AT&T
ILC 09,ILC 09- B,Secondary,AT&T Broadband II,at&t,AT&T,at&t,Match,100,Special case: at&t <-> at&t,1000.0M x 1000.0M,$165.01,104.4.89.113,WAN2,96.74.190.41,Comcast,104.4.89.113,AT&T
