site_name,site_id,circuit_purpose,provider_name,speed,cost,gets_badge,exclusion_reason,wan1_provider,wan2_provider,wan1_arin,wan2_arin,arin_could_help
CAN 43,CAN 43,Primary,AT&T Broadband II,300.0M x 75.0M,105.01,Yes,Should get badge,AT&T Broadband II,VZW Cell,AT&T,Unknown,Yes
CAN 44,CAN 44,Primary,Comcast Workplace,200.0M x 20.0M,134.45,Yes,Should get badge,Comcast Workplace,VZW Cell,Comcast,Verizon,Yes
CAN 45,CAN 45 -B,Primary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,AT&T Broadband II,VZW Cell,AT&T,Verizon,Yes
CAN 46,CAN 46,Primary,AT&T Broadband II,1000.0M x 1000.0M,165.01,Yes,Should get badge,AT&T Broadband II,VZW Cell,AT&T,Verizon,Yes
CAN 47,CAN 47,Primary,Comcast Workplace,300.0M x 30.0M,175.56,Yes,Should get badge,Comcast Workplace,AT&T Broadband II,Comcast,AT&T,Yes
CAN 47,CAN 47 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Comcast Workplace,AT&T Broadband II,Comcast,AT&T,Yes
CAN 48,CAN 48 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications LLC,AT&T,Yes
CAN 48,CAN 48,Primary,Spectrum,600.0M x 35.0M,244.45,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications LLC,AT&T,No
CAN 49,CAN 49,Primary,AT&T Broadband II,1000.0M x 1000.0M,165.01,Yes,Should get badge,AT&T Broadband II,AT&T Cell,AT&T,AT&T,Yes
CAN 50,CAN 50,Primary,Comcast Workplace,250.0M x 25.0M,186.18,Yes,Should get badge,Comcast Workplace,VZW Cell,Comcast,Verizon,Yes
CAN 51,CAN 51 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,Yes
CAN 51,CAN 51,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,No
CAN 52,CAN 52,Primary,Consolidated Communications,300.0M x 300.0M,479.99,Yes,Should get badge,Consolidated Communications,Verizon Business,"Consolidated Communications, Inc.",Verizon,Yes
CAN 53,CAN 53,Primary,Comcast Workplace,250.0M x 25.0M,186.18,Yes,Should get badge,Vast Networks,Comcast Workplace,Vast Networks,Comcast,Yes
CAN 53,CAN 53- B,Secondary,Vast Networks,300.0M x 300.0M,550.00,Yes,Should get badge,Vast Networks,Comcast Workplace,Vast Networks,Comcast,Yes
CAN 54,CAN 54,Primary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,AT&T Broadband II,Digi,AT&T,AT&T,Yes
CAN 55,CAN 55,Secondary,Succeed-net,100.0M x 7.0M,149.99,Yes,Should get badge,Comcast Workplace,Succeed-net,Comcast,Succeed.Net,No
CAN 55,CAN 55,Primary,Comcast Workplace,300.0M x 30.0M,175.56,Yes,Should get badge,Comcast Workplace,Succeed-net,Comcast,Succeed.Net,Yes
CAN 56,CAN 56,Primary,Comcast Workplace,250.0M x 25.0M,186.18,Yes,Should get badge,Comcast Workplace,AT&T Broadband II,Comcast,AT&T,Yes
CAN 56,CAN 56 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Comcast Workplace,AT&T Broadband II,Comcast,AT&T,Yes
CAN 57,CAN 57,Primary,AT&T Broadband II,1000.0M x 1000.0M,165.01,Yes,Should get badge,AT&T Broadband II,VZW Cell,AT&T,Verizon,Yes
CAN 58,CAN 58,Primary,Comcast Workplace,250.0M x 25.0M,186.18,Yes,Should get badge,Private Customer - AT&T Internet Services,Comcast Workplace,AT&T,Comcast,Yes
CAN 60,CAN 60,Primary,AT&T Broadband II,1000.0M x 200.0M,165.00,Yes,Should get badge,AT&T Broadband II,Comcast Workplace,AT&T,Comcast,Yes
CAN 60,CAN 60 -B,Secondary,Comcast Workplace,300.0M x 30.0M,175.56,Yes,Should get badge,AT&T Broadband II,Comcast Workplace,AT&T,Comcast,Yes
CAN 61,CAN 61,Primary,AT&T Broadband II,1000.0M x 1000.0M,165.01,Yes,Should get badge,AT&T Broadband II,Comcast Workplace,AT&T,Comcast,Yes
CAN 61,CAN 61- B,Secondary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,AT&T Broadband II,Comcast Workplace,AT&T,Comcast,Yes
CAO 01,,Primary,AT&T,,967.00,Yes,Should get badge,AT&T,Verizon Business,AT&T,Verizon,Yes
CAO 03,CAO 03,Primary,GTT Ethernet,50.0M x 10.0M,177.66,Yes,Should get badge,EB2-Frontier Fiber,GTT Ethernet,Frontier Communications,Frontier Communications,No
CAO 03,CAO 03 -B,Secondary,EB2-Frontier Fiber,500.0M x 500.0M,245.00,Yes,Should get badge,EB2-Frontier Fiber,GTT Ethernet,Frontier Communications,Frontier Communications,Yes
CAO 05,CAO 05,Primary,AT&T Broadband II,1000.0M x 1000.0M,165.01,Yes,Should get badge,AT&T Broadband II,Verizon Business,AT&T,Verizon,Yes
CAO 06,CAO 06 -B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,Yes,Should get badge,AT&T Broadband II,Cox Business/BOI,AT&T,Cox Communications,Yes
CAO 06,CAO 06,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,Yes,Should get badge,AT&T Broadband II,Cox Business/BOI,AT&T,Cox Communications,Yes
CAS 01,CAS 01,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,Yes,Should get badge,Cox Business/BOI,,Cox Communications,Unknown,Yes
CAS 03,CAS 03 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,AT&T Broadband II,Cox Business/BOI,AT&T,Cox Communications,Yes
CAS 03,CAS 03,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,Yes,Should get badge,AT&T Broadband II,Cox Business/BOI,AT&T,Cox Communications,Yes
CAS 04,CAS 04,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,Yes,Should get badge,AT&T Broadband II,Cox Business/BOI,AT&T,Cox Communications,Yes
CAS 04,CAS 04 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,AT&T Broadband II,Cox Business/BOI,AT&T,Cox Communications,Yes
CAS 05,CAS 05 -B,Secondary,AT&T Broadband II,1000.0M x 200.0M,165.00,Yes,Should get badge,AT&T Broadband II,Cox Business/BOI,AT&T,Cox Communications,Yes
CAS 05,CAS 05,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,Yes,Should get badge,AT&T Broadband II,Cox Business/BOI,AT&T,Cox Communications,Yes
CAS 06,CAS 06,Primary,AT&T Broadband II,1000.0M x 1000.0M,165.01,Yes,Should get badge,AT&T Broadband II,Digi,AT&T,AT&T,Yes
CAS 07,CAS 07,Primary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,AT&T Broadband II,Cox Business/BOI,AT&T,Cox Communications,Yes
CAS 07,CAS 07 -B,Secondary,Cox Business/BOI,300.0M x 30.0M,266.67,Yes,Should get badge,AT&T Broadband II,Cox Business/BOI,AT&T,Cox Communications,Yes
CAS 08,CAS 08,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,Yes,Should get badge,AT&T Broadband II,Cox Business/BOI,AT&T,Cox Communications,Yes
CAS 08,CAS 08 -B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,Yes,Should get badge,AT&T Broadband II,Cox Business/BOI,AT&T,Cox Communications,Yes
CAS 09,CAS 09,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,Yes,Should get badge,Cox Business/BOI,,Cox Communications,AT&T,Yes
CAS 10,CAS 10 -B,Primary,AT&T Broadband II,1000.0M x 1000.0M,165.01,Yes,Should get badge,AT&T Broadband II,Cox Business/BOI,AT&T,Cox Communications,Yes
CAS 10,CAS 10,Secondary,Cox Business/BOI,300.0M x 30.0M,266.67,Yes,Should get badge,AT&T Broadband II,Cox Business/BOI,AT&T,Cox Communications,Yes
CAS 11,CAS 11,Primary,AT&T Broadband II,1000.0M x 200.0M,165.00,Yes,Should get badge,AT&T Broadband II,VZW Cell,AT&T,Verizon,Yes
CAS 12,CAS 12,Primary,AT&T Broadband II,1000.0M x 1000.0M,165.01,Yes,Should get badge,AT&T Broadband II,Digi,AT&T,AT&T,Yes
CAS 14,CAS 14,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,Yes,Should get badge,AT&T Broadband II,Cox Business/BOI,AT&T,Cox Communications,Yes
CAS 14,CAS 14 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,AT&T Broadband II,Cox Business/BOI,AT&T,Cox Communications,Yes
CAS 15,CAS 15,Primary,AT&T Broadband II,1000.0M x 1000.0M,165.01,Yes,Should get badge,AT&T Broadband II,Verizon Business,AT&T,Verizon,Yes
CAS 16,CAS 16,Primary,Cox Business,1000.0M x 35.0M,500.00,Yes,Should get badge,Cox Business,Accelerated,Cox Communications,AT&T,Yes
CAS 17,CAS 17,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,Yes,Should get badge,Cox Business/BOI,Digi,Cox Communications,AT&T,Yes
CAS 18,CAS 18,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,Yes,Should get badge,AT&T Broadband II,Cox Business/BOI,AT&T,Cox Communications,Yes
CAS 18,CAS 18 -B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,Yes,Should get badge,AT&T Broadband II,Cox Business/BOI,AT&T,Cox Communications,Yes
CAS 19,CAS 19,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,Yes,Should get badge,Cox Business/BOI,Digi,Cox Communications,AT&T,Yes
CAS 20,CAS 20,Primary,Spectrum,200.0M x 10.0M,116.67,Yes,Should get badge,Spectrum,Verizon Business,Charter Communications,Verizon,No
CAS 21,CAS 21,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Spectrum,AT&T Cell,Charter Communications,AT&T,No
CAS 22,CAS 22 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Cox Business/BOI,AT&T Broadband II,Cox Communications,AT&T,Yes
CAS 22,CAS 22,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,Yes,Should get badge,Cox Business/BOI,AT&T Broadband II,Cox Communications,AT&T,Yes
CAS 23,CAS 23,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,No
CAS 23,CAS 23 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,Yes
CAS 24,CAS 24 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Spectrum,AT&T Broadband II,VERMONT PARK PLAZA,AT&T,Yes
CAS 24,CAS 24,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Spectrum,AT&T Broadband II,VERMONT PARK PLAZA,AT&T,No
CAS 25,CAS 25 -B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,Yes,Should get badge,AT&T Broadband II,Spectrum,AT&T,Charter Communications,Yes
CAS 25,CAS 25,Primary,Spectrum,940.0M x 35.0M,355.56,Yes,Should get badge,AT&T Broadband II,Spectrum,AT&T,Charter Communications,No
CAS 27,CAS 27,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,Yes,Should get badge,Cox Business/BOI,AT&T Broadband II,Cox Communications,AT&T,Yes
CAS 27,CAS 27 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Cox Business/BOI,AT&T Broadband II,Cox Communications,AT&T,Yes
CAS 28,CAS 28 -B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,Yes,Should get badge,AT&T Broadband II,Cox Business/BOI,AT&T,Cox Communications,Yes
CAS 28,CAS 28,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,Yes,Should get badge,AT&T Broadband II,Cox Business/BOI,AT&T,Cox Communications,Yes
CAS 31,CAS 31,Primary,Frontier Fios,500.0M x 500.0M,59.99,Yes,Should get badge,Frontier Fios,Spectrum,Frontier Communications,Charter Communications,Yes
CAS 31,CAS 31 -B,Secondary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Frontier Fios,Spectrum,Frontier Communications,Charter Communications,No
CAS 32,CAS 32,Primary,Spectrum,600.0M x 35.0M,244.45,Yes,Should get badge,Spectrum,Verizon Business,Charter Communications,Verizon,No
CAS 33,CAS 33,Primary,Spectrum,600.0M x 35.0M,244.45,Yes,Should get badge,Spectrum,VZW Cell,Charter Communications,Verizon,No
CAS 34,CAS 34 -B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,Yes,Should get badge,AT&T Broadband II,Cox Business/BOI,AT&T,Cox Communications,Yes
CAS 34,CAS 34,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,Yes,Should get badge,AT&T Broadband II,Cox Business/BOI,AT&T,Cox Communications,Yes
CAS 36,CAS 36,Primary,Spectrum,600.0M x 35.0M,244.45,Yes,Should get badge,Spectrum,Digi,Charter Communications,AT&T,No
CAS 37,CAS 37,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,Yes,Should get badge,Cox Business/BOI,Verizon Business,Cox Communications,Verizon,Yes
CAS 38,CAS 38,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,Yes,Should get badge,AT&T Broadband II,Cox Business/BOI,AT&T,Cox Communications,Yes
CAS 38,CAS 38 -B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,Yes,Should get badge,AT&T Broadband II,Cox Business/BOI,AT&T,Cox Communications,Yes
CAS 39,CAS 39 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Spectrum,AT&T Broadband II,VERMONT PARK PLAZA,AT&T,Yes
CAS 39,CAS 39,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Spectrum,AT&T Broadband II,VERMONT PARK PLAZA,AT&T,No
CAS 43,CAS 43,Primary,Spectrum,600.0M x 35.0M,244.45,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,No
CAS 43,CAS 43 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,Yes
CAS 44,CAS 44,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,AT&T Broadband II,Spectrum,AT&T,Charter Communications,No
CAS 44,CAS 44 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,AT&T Broadband II,Spectrum,AT&T,Charter Communications,Yes
CAS 45,CAS 45 -B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,Yes,Should get badge,AT&T Broadband II,Digi,AT&T,AT&T,Yes
CAS 47,CAS 47,Primary,AT&T Broadband II,1000.0M x 200.0M,165.00,Yes,Should get badge,AT&T Broadband II,Digi,AT&T,AT&T,Yes
CAS 48,CAS 48,Primary,EB2-Frontier Fiber,500.0M x 500.0M,245.00,Yes,Should get badge,Frontier Communications,Verizon Business,Frontier Communications,Verizon,Yes
CAS 49,CAS 49,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Spectrum,Starlink,Charter Communications,"SpaceX Services, Inc.",No
CAS 50,CAS 50,Primary,GTT Ethernet,50.0M x 10.0M,177.66,Yes,Should get badge,EB2-Frontier Fiber,GTT Ethernet,Frontier Communications,Frontier Communications,No
CAS 50,CAS 50 -B,Secondary,EB2-Frontier Fiber,500.0M x 500.0M,245.00,Yes,Should get badge,EB2-Frontier Fiber,GTT Ethernet,Frontier Communications,Frontier Communications,Yes
CAS 51,CAS 51,Primary,Cox Business/BOI ,300.0M x 30.0M,266.67,Yes,Should get badge,Cox Business/BOI ,AT&T Broadband II,Cox Communications,AT&T,Yes
CAS 51,CAS 51 -B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,Yes,Should get badge,Cox Business/BOI ,AT&T Broadband II,Cox Communications,AT&T,Yes
CAS 53,CAS 53 -B,Secondary,Cox Business/BOI,300.0M x 30.0M,266.67,Yes,Should get badge,AT&T Broadband II,Cox Business/BOI,AT&T,Cox Communications,Yes
CAS 53,CAS 53,Primary,AT&T Broadband II,2000.0M x 2000.0M,240.04,Yes,Should get badge,AT&T Broadband II,Cox Business/BOI,AT&T,Cox Communications,Yes
COB 01,COB 01,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast Workplace,EB2-Centurylink DSL,Comcast,CenturyLink,Yes
COB 01,COB 01- B,Secondary,EB2-Centurylink DSL,100.0M x 10.0M,128.00,Yes,Should get badge,Comcast Workplace,EB2-Centurylink DSL,Comcast,CenturyLink,Yes
COD 02,COD 02,Primary,Comcast Workplace,250.0M x 25.0M,186.18,Yes,Should get badge,Comcast Workplace,Digi,Comcast,AT&T,Yes
COD 04,COD 04,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast Workplace,VZW Cell,Comcast Cable Communications,Verizon,Yes
COD 05,COD 05,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast Workplace,Comcast Workplace,Comcast,AT&T,Yes
COD 06,COD 06,Primary,Lumen,100.0M x 10.0M,139.99,Yes,Should get badge,Lumen,,CenturyLink,AT&T,No
COD 07,COD 07,Primary,Comcast Workplace,250.0M x 25.0M,186.18,Yes,Should get badge,Comcast Workplace,Digi,Comcast,AT&T,Yes
COD 10,COD 10,Primary,Comcast Workplace,300.0M x 30.0M,175.56,Yes,Should get badge,Comcast Workplace,Comcast Workplace,Comcast,CenturyLink,Yes
COD 11,COD 11,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast Workplace,VZW Cell,Comcast,Verizon,Yes
COD 14,COD 14,Primary,Comcast Workplace,250.0M x 25.0M,186.18,Yes,Should get badge,Comcast Workplace,,Comcast,AT&T,Yes
COD 18,COD 18,Primary,Comcast Workplace,1000.0M x 35.0M,282.23,Yes,Should get badge,Comcast Workplace,VZW Cell,Comcast,Verizon,Yes
COD 19,COD 19,Primary,CenturyLink Fiber Plus,500.0M x 500.0M,600.00,Yes,Should get badge,CenturyLink Fiber Plus,Verizon Business,CenturyLink,Verizon,Yes
COD 20,COD 20,Primary,Comcast Workplace,300.0M x 30.0M,175.56,Yes,Should get badge,Comcast Workplace,VZW Cell,Comcast,Verizon,Yes
COD 21,COD 21,Primary,Comcast Workplace,300.0M x 30.0M,175.56,Yes,Should get badge,Comcast Workplace,CenturyLink/Qwest,Comcast,CenturyLink,Yes
COD 21,COD 21,Secondary,CenturyLink/Qwest,40.0M x 5.0M,99.99,Yes,Should get badge,Comcast Workplace,CenturyLink/Qwest,Comcast,CenturyLink,Yes
COD 23,COD 23- B,Secondary,EB2-Lumen DSL,100.0M x 10.0M,128.00,Yes,Should get badge,Comcast,EB2-Lumen DSL,Comcast,CenturyLink,No
COD 24,COD 24,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast Workplace,,Comcast,AT&T,Yes
COD 25,COD 25,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast Workplace,EB2-Centurylink DSL,Comcast,CenturyLink,Yes
COD 25,COD 25- B,Secondary,EB2-Centurylink DSL,140.0M x 20.0M,151.00,Yes,Should get badge,Comcast Workplace,EB2-Centurylink DSL,Comcast,CenturyLink,Yes
COD 26,COD 26,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast Workplace,EB2-Centurylink DSL,Comcast,Western Disposal,Yes
COD 26,COD 26- B,Secondary,EB2-Centurylink DSL,80.0M x 10.0M,128.00,Yes,Should get badge,Comcast Workplace,EB2-Centurylink DSL,Comcast,Western Disposal,No
COD 27,COD 27,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast Workplace,Accelerated,Comcast,AT&T,Yes
COD 28,COD 28,Primary,Comcast Workplace,1000.0M x 35.0M,282.23,Yes,Should get badge,Comcast Workplace,AT&T,WYATT CREATIVE,AT&T,No
COD 29,COD 29,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast Workplace,Digi,Comcast,AT&T,Yes
COD 30,COD 30,Primary,Comcast Workplace,300.0M x 30.0M,175.56,Yes,Should get badge,Comcast Workplace,VZW Cell,Comcast,Verizon,Yes
COD 31,COD 31,Primary,MallCom Networks,300.0M x 30.0M,289.00,Yes,Should get badge,MallCom Networks,,"Lrm-Com, Inc.",AT&T,No
COD 32,COD 32,Primary,Comcast Workplace,300.0M x 30.0M,175.56,Yes,Should get badge,Comcast Workplace,CenturyLink/Qwest,Comcast,CenturyLink,Yes
COD 32,COD 32,Secondary,CenturyLink/Qwest,100.0M x 10.0M,169.99,Yes,Should get badge,Comcast Workplace,CenturyLink/Qwest,Comcast,CenturyLink,Yes
COD 34,COD 34,Primary,Lumen/Qwest,100.0M x 10.0M,149.99,Yes,Should get badge,Lumen/Qwest,VZW Cell,CenturyLink,Verizon,No
COD 35,COD 35,Primary,LiveWire Net,75.0M x 15.0M,110.00,Yes,Should get badge,Comcast Workplace,LiveWire Net,Comcast,"Live Wire Networks, Inc",Yes
COD 35,COD 35 -B,Secondary,Comcast Workplace,300.0M x 30.0M,175.56,Yes,Should get badge,Comcast Workplace,LiveWire Net,Comcast,"Live Wire Networks, Inc",Yes
COD 36,COD 36,Primary,Comcast Workplace,300.0M x 30.0M,175.56,Yes,Should get badge,Comcast Workplace,CenturyLink,Comcast,CenturyLink,Yes
COD 37,COD 37,Primary,Comcast Workplace,250.0M x 25.0M,186.18,Yes,Should get badge,Comcast Workplace,VZW Cell,Comcast,Verizon,Yes
COD 38,COD 38,Secondary,CenturyLink/Qwest,100.0M x 10.0M,169.99,Yes,Should get badge,CenturyLink,Digi,CenturyLink,AT&T,Yes
COD 39,COD 39,Primary,Comcast Workplace,250.0M x 25.0M,186.18,Yes,Should get badge,Comcast Workplace,VZW Cell,Comcast,Verizon,Yes
COD 40,COD 40,Primary,Comcast Workplace,250.0M x 25.0M,186.18,Yes,Should get badge,Comcast Workplace,VZW Cell,Comcast,Verizon,Yes
COD 42,COD 42,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast Workplace,VZW Cell,Comcast,Private IP,Yes
COG 01,COG 01- B,Secondary,EB2-Centurylink DSL,80.0M x 10.0M,128.00,Yes,Should get badge,Spectrum,EB2-Centurylink DSL,Charter Communications,CenturyLink,Yes
COG 01,COG 01,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Spectrum,EB2-Centurylink DSL,Charter Communications,CenturyLink,No
COG 02,COG 02,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast,Community Broadband Network,Comcast,Glenwood Springs Community Broadband Network,Yes
COG 02,COG 02- B,Secondary,Community Broadband Network,100.0M x 100.0M,105.00,Yes,Should get badge,Comcast,Community Broadband Network,Comcast,Glenwood Springs Community Broadband Network,No
COG 03,COG 03,Primary,Spectrum,600.0M x 35.0M,244.45,Yes,Should get badge,Spectrum,,Charter Communications,Private IP,No
CON 02,CON 02,Primary,Comcast Workplace,250.0M x 25.0M,186.18,Yes,Should get badge,Comcast Workplace,,Comcast,Private IP,Yes
CON 03,CON 03- B,Secondary,FORT COLLINS CONNEXION,500.0M x 500.0M,199.95,Yes,Should get badge,FORT COLLINS CONNEXION,Comcast Workplace,AT&T,Comcast,No
CON 03,CON 03,Primary,Comcast Workplace,300.0M x 30.0M,175.56,Yes,Should get badge,FORT COLLINS CONNEXION,Comcast Workplace,AT&T,Comcast,Yes
COP 02,COP 02,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast Workplace,,Comcast,Private IP,Yes
COP 03,COP 03,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast Workplace,EB2-Centurylink DSL,Comcast,CenturyLink,Yes
COP 03,COP 03- B,Secondary,EB2-Centurylink DSL,100.0M x 10.0M,128.00,Yes,Should get badge,Comcast Workplace,EB2-Centurylink DSL,Comcast,CenturyLink,Yes
COS 01,COS 01,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast Workplace,VZW Cell,Comcast,Private IP,Yes
COS 02,COS 02,Primary,Comcast Workplace,250.0M x 25.0M,186.18,Yes,Should get badge,Comcast Workplace,,Comcast,Private IP,Yes
COS 03,COS 03,Primary,Comcast Workplace,250.0M x 25.0M,186.18,Yes,Should get badge,Comcast Workplace,EB2-Centurylink DSL,Comcast,CenturyLink,Yes
COS 03,COS 03- B,Secondary,EB2-Centurylink DSL,100.0M x 10.0M,128.00,Yes,Should get badge,Comcast Workplace,EB2-Centurylink DSL,Comcast,CenturyLink,Yes
COS 04,COS 04,Primary,CenturyLink Fiber Plus,500.0M x 500.0M,540.00,Yes,Should get badge,CenturyLink Fiber Plus,Digi,CenturyLink,Private IP,Yes
COS 05,COS 05,Primary,Comcast Workplace,250.0M x 25.0M,186.18,Yes,Should get badge,Unite Private Networks,Comcast Workplace,Unite Private Networks LLC.,Comcast,Yes
COS 05,COS 05-B,Secondary,Unite Private Networks,300.0M x 300.0M,699.00,Yes,Should get badge,Unite Private Networks,Comcast Workplace,Unite Private Networks LLC.,Comcast,Yes
COS 06,COS 06,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast Workplace,Digi,Comcast,AT&T,Yes
COS 07,COS 07,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast Workplace,Digi,Comcast,AT&T,Yes
COW 01,COW 01,Primary,Spectrum,940.0M x 35.0M,355.56,Yes,Should get badge,Spectrum,AT&T Cell,Charter Communications,Private IP,No
COW 02,COW 02,Primary,Elevate Internet,1000.0M x 1000.0M,159.95,Yes,Should get badge,Elevate Internet,AT&T Cell,Internet Assigned Numbers Authority,AT&T,Yes
FLD 01,FLD 01 -B,Secondary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,AT&T Broadband II,Spectrum,AT&T,"Charter Communications, Inc",No
FLD 01,FLD 01,Primary,AT&T Broadband II,1000.0M x 1000.0M,165.01,Yes,Should get badge,AT&T Broadband II,Spectrum,AT&T,"Charter Communications, Inc",Yes
FLD 02,FLD 02,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Spectrum,VZW Cell,Private IP,Private IP,No
FLD 04,FLD 04 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,Yes
FLD 04,FLD 04,Primary,Spectrum,600.0M x 35.0M,244.45,Yes,Should get badge,Spectrum,AT&T Broadband II,Charter Communications,AT&T,No
FLF 01,FLF 01,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast Workplace,Starlink,Comcast,"SpaceX Services, Inc.",Yes
FLG 01,FLG 01,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,Yes,Should get badge,Cox Business/BOI,VZW Cell,Cox Communications,Private IP,Yes
FLG 02,FLG 02,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,Yes,Should get badge,Ocala Fiber Network,Cox Business/BOI,Ocala Fiber Network,Cox Communications,Yes
FLG 02,FLG 02 -B,Secondary,Ocala Fiber Network,300.0M x 300.0M,300.00,Yes,Should get badge,Ocala Fiber Network,Cox Business/BOI,Ocala Fiber Network,Cox Communications,Yes
