hostname,ip_address,position,model,serial_number,port_location,vendor,notes
IDF1A-4510.trtc.com,10.0.255.121,Chassis,WS-C4510R+E,FXS1937Q20A,,Cisco,
,,Module,WS-X4748-RJ45V+E,CAT1944L6DD,Linecard(slot 1),,
,,Module,WS-X4648-RJ45V+E,JAE193901BA,Linecard(slot 2),,
,,Module,WS-X4648-RJ45V+E,JAE193903GW,Linecard(slot 3),,
,,Module,WS-X4648-RJ45V+E,JAE19390160,Linecard(slot 4),,
IDF1B-4510-SW1.trtc.com,10.0.255.123,Chassis,WS-C4510R+E,FXS1937Q21S,,Cisco,
,,Module,WS-X4748-RJ45V+E,CAT1944L0AJ,Linecard(slot 1),,
,,Module,WS-X4648-RJ45V+E,JAE19390156,Linecard(slot 2),,
,,Module,WS-X4648-RJ45V+E,JAE193809KY,Linecard(slot 3),,
,,Module,WS-X4648-RJ45V+E,JAE193809EC,Linecard(slot 4),,
,,Module,WS-X4648-RJ45V+E,JAE1939017W,Linecard(slot 7),,
,,Module,WS-X4648-RJ45V+E,JAE1939015R,Linecard(slot 8),,
,,Module,WS-X4648-RJ45V+E,JAE193901EB,Linecard(slot 9),,
,,Module,WS-X4748-RJ45V+E,CAT1944L1KU,Linecard(slot 10),,
IDF1B-4510-SW2.trtc.com,10.0.255.124,Chassis,WS-C4510R+E,FXS2002Q1HM,,Cisco,
,,Module,WS-X4748-RJ45V+E,CAT1950L6QP,Linecard(slot 1),,
,,Module,WS-X4748-RJ45V+E,CAT1950L6VV,Linecard(slot 2),,
,,Module,WS-X4748-RJ45V+E,CAT1944L66H,Linecard(slot 3),,
,,Module,WS-X4648-RJ45V+E,JAE193901FH,Linecard(slot 4),,
IDF1C-9410-SW.trtc.com,10.0.255.61,Chassis,C9410R,FXS2232Q00R,,Cisco,
,,Module,C9400-LC-48P,JAE22310F8W,Slot 1 Linecard,,
,,Module,C9400-LC-48P,JAE22320JRF,Slot 2 Linecard,,
,,Module,C9400-LC-48P,JAE22380JCT,Slot 3 Linecard,,
,,Module,C9400-LC-48P,JAE22380SPT,Slot 4 Linecard,,
,,Module,C9400-SUP-1XL,JAE223409C3,Slot 5 Supervisor,,
,,Module,C9400-SUP-1XL,JAE223409DL,Slot 6 Supervisor,,
,,Module,C9400-LC-48P,JAE22380TBN,Slot 7 Linecard,,
,,Module,C9400-LC-48P,JAE22380SPS,Slot 8 Linecard,,
,,Module,C9400-LC-48P,JAE22380SLE,Slot 9 Linecard,,
,,Module,C9400-LC-48P,JAD2350022B,Slot 10 Linecard,,
IDF2B-9410-SW.trtc.com,10.0.255.125,Chassis,C9410R,FXS2230Q254,,Cisco,
,,Module,C9400-LC-48P,JAE22340958,Slot 1 Linecard,,
,,Module,C9400-LC-48P,JAE2234096L,Slot 2 Linecard,,
,,Module,C9400-LC-48P,JAE22380SK8,Slot 3 Linecard,,
,,Module,C9400-LC-48P,JAE22380TC2,Slot 4 Linecard,,
,,Module,C9400-SUP-1XL,JAE22320FZP,Slot 5 Supervisor,,
,,Module,C9400-SUP-1XL,JAE223409FB,Slot 6 Supervisor,,
,,Module,C9400-LC-48P,JAE22380SKZ,Slot 7 Linecard,,
,,Module,C9400-LC-48P,JAE22380TBC,Slot 8 Linecard,,
,,Module,C9400-LC-48P,JAE22380SWG,Slot 9 Linecard,,
,,Module,C9400-LC-48P,JAE22391H9L,Slot 10 Linecard,,
IDF2C-9410-SW.trtc.com,10.0.255.62,Chassis,C9410R,FXS2232Q05J,,Cisco,
,,Module,C9400-LC-48P,JAE2234094V,Slot 1 Linecard,,
,,Module,C9400-LC-48P,JAE22320JPH,Slot 2 Linecard,,
,,Module,C9400-LC-48P,JAE22391K82,Slot 3 Linecard,,
,,Module,C9400-LC-48P,JAE22380TBZ,Slot 4 Linecard,,
,,Module,C9400-SUP-1XL,JAE222906C8,Slot 5 Supervisor,,
,,Module,C9400-SUP-1XL,JAE223108EB,Slot 6 Supervisor,,
,,Module,C9400-LC-48P,JAE22380SKF,Slot 7 Linecard,,
aladasa06a,10.101.255.35,Chassis,DCS-7050SX3-48YC8,JPA2314P1UM,,Cisco,
IDF2A-4510.trtc.com,10.0.255.122,Chassis,WS-C4510R+E,FXS1937Q20J,,Cisco,
,,Module,WS-X4748-RJ45V+E,CAT1943LAMS,Linecard(slot 1),,
,,Module,WS-X4648-RJ45V+E,JAE1939016A,Linecard(slot 2),,
,,Module,WS-X4648-RJ45V+E,JAE193903H5,Linecard(slot 3),,
,,Module,WS-X4648-RJ45V+E,JAE1939015U,Linecard(slot 4),,
,,Module,WS-X4648-RJ45V+E,JAE1939017X,Linecard(slot 7),,
,,Module,WS-X4648-RJ45V+E,JAE19390171,Linecard(slot 8),,
,,Module,WS-X4648-RJ45V+E,JAE193809FA,Linecard(slot 9),,
