site_name,interface,ip_address,provider_name,ip_assignment_status,circuit_type
AZP 42,WAN1,24.249.183.88,Cox Business/BOI,static,DSR
AZP 43,WAN1,24.250.112.162,Cox Business/BOI,static,DSR
AZP 43,WAN2,63.226.59.241,CenturyLink,static,Non-DSR
AZP 44,WAN1,63.226.63.17,CenturyLink,static,Non-DSR
AZP 45,WAN1,184.188.208.14,Cox Communications,static,Non-DSR
AZP 46,WAN2,216.161.165.105,EB2-Centurylink DSL,static,DSR
AZP 47,WAN1,24.250.126.108,Cox Business/BOI,static,DSR
AZP 47,WAN2,70.56.190.49,CenturyLink,static,Non-DSR
AZP 48,WAN1,98.174.240.92,Cox Business/BOI,static,DSR
AZP 49,WAN1,65.101.21.49,CenturyLink,static,Non-DSR
AZP 50,WAN1,72.212.146.133,Cox Business/BOI,static,DSR
AZP 51,WAN1,174.79.51.123,Cox Business/BOI,static,DSR
AZP 53,WAN1,72.212.135.50,Cox Communications,static,Non-DSR
AZP 54,WAN1,174.66.126.100,Cox Business/BOI,static,DSR
AZP 54,WAN2,216.161.165.161,CenturyLink/Qwest,static,DSR
AZP 55,WAN1,204.132.235.26,CenturyLink,static,Non-DSR
AZP 56,WAN1,63.224.146.6,ComcastAgg,static,Non-DSR
AZP 58,WAN1,72.194.165.206,Cox Communications,static,Non-DSR
AZP 59,WAN1,70.175.31.234,Cox Communications,static,Non-DSR
AZP 60,WAN1,74.84.70.98,Mediacom Communications Corporation,static,Non-DSR
AZP 61,WAN1,72.194.182.2,Cox Communications,static,Non-DSR
AZS 01,WAN1,98.190.144.243,Cox Communications,static,Non-DSR
AZT 01,WAN1,72.194.173.124,Cox Communications,static,Non-DSR
AZT 02,WAN1,68.98.215.100,Cox Business/BOI,static,DSR
AZT 02,WAN2,65.100.99.25,EB2-Centurylink DSL,static,DSR
AZT 03,WAN1,184.183.13.237,Cox Communications,static,Non-DSR
AZT 06,WAN1,50.208.236.45,Comcast Workplace,static,DSR
AZT 07,WAN1,72.214.214.230,Cox Communications,static,Non-DSR
AZT 09,WAN1,75.146.134.225,Comcast Workplace,static,DSR
AZT 10,WAN1,98.190.145.73,Cox Business/BOI,static,DSR
AZT 11,WAN1,50.248.113.137,Comcast Workplace,static,DSR
AZT 12,WAN1,98.164.141.100,Cox Business/BOI,static,DSR
AZT 13,WAN1,68.98.221.146,Cox Business/BOI,static,DSR
AZT 13,WAN2,67.41.31.9,GTT ESA2 ADSL,static,Non-DSR
AZT 14,WAN1,68.14.243.158,Cox Business/BOI,static,DSR
AZT 14,WAN2,204.17.50.34,"Login, Inc.",static,Non-DSR
AZY 01,WAN1,74.62.234.182,Spectrum,static,DSR
AZY 02,WAN1,170.64.15.200,Allo Communications,static,DSR
AZY 02,WAN2,76.79.115.26,Spectrum,static,DSR
CAL 01,WAN1,76.83.31.54,Spectrum,static,DSR
CAL 01,WAN2,47.180.162.176,EB2-Frontier Fiber,static,DSR
CAL 02,WAN1,137.27.244.230,Spectrum,static,DSR
CAL 02,WAN2,47.176.36.66,Frontier MetroFiber,static,DSR
CAL 03,WAN1,47.180.197.231,GTT Ethernet,static,DSR
CAL 04,WAN1,99.124.162.177,AT&T Broadband II,static,DSR
CAL 04,WAN2,137.27.235.102,Spectrum,static,DSR
CAL 05,WAN1,69.75.15.162,Spectrum,static,DSR
CAL 06,WAN1,173.196.167.10,Spectrum,static,DSR
CAL 07,WAN1,162.198.186.161,AT&T Broadband II,static,DSR
CAL 08,WAN1,137.27.225.142,Spectrum,static,DSR
CAL 08,WAN2,68.95.185.33,AT&T Broadband II,static,DSR
CAL 09,WAN1,98.152.191.174,Spectrum,static,DSR
CAL 09,WAN2,47.180.28.28,EB2-Frontier Fiber,static,DSR
CAL 10,WAN1,47.46.116.90,Spectrum,static,DSR
