hostname,ip_address,position,model,serial_number,port_location,vendor,notes
,,Module,,00000MTC161109RQ,,Cisco,Transceiver(slot:10-port:30)
,,Module,,00000MTC161405FD,,Cisco,Transceiver(slot:10-port:31)
,,Module,,00000MTC161109SF,,Cisco,Transceiver(slot:10-port:32)
,,Module,,AGM1821208K     ,,Cisco,Transceiver(slot:10-port:33)
,,Module,,AGM184749F9     ,,Cisco,Transceiver(slot:10-port:34)
,,Module,,AGM142622CB     ,,Cisco,Transceiver(slot:10-port:35)
,,Module,,FNS12390FAJ     ,,Cisco,Transceiver(slot:10-port:37)
,,Module,,AGM1821209F     ,,Cisco,Transceiver(slot:10-port:38)
,,Module,,AGM18212098     ,,Cisco,Transceiver(slot:10-port:39)
,,Module,,AGM1821211V     ,,Cisco,Transceiver(slot:10-port:40)
,,Module,,00000MTC161405EY,,Cisco,Transceiver(slot:10-port:41)
,,Module,,00000MTC161404NJ,,Cisco,Transceiver(slot:10-port:42)
,,Module,,00000MTC1611077Z,,Cisco,Transceiver(slot:10-port:43)
,,Module,,AGM184749GF     ,,Cisco,Transceiver(slot:10-port:44)
,,Module,,FNS111711YQ     ,,Cisco,Transceiver(slot:10-port:45)
,,Module,,AGM201540KU     ,,Cisco,Transceiver(slot:10-port:47)
AL-7000-01-EDGE,10.101.100.209,Parent Switch,,,,Cisco,
,,Module,,JAE191207AL,,Cisco,10/40 Gbps Ethernet Module
,,Module,,JAE19150EWX,,Cisco,Supervisor Module-2
,,Module,,JAE1914000P,,Cisco,Supervisor Module-2
,,Module,,JAE191208KP,,Cisco,10/40 Gbps Ethernet Module
,,Module,,JAE19100085,,Cisco,10/40 Gbps Ethernet Module
,,Module,,JAE1915099A,,Cisco,1/10 Gbps Ethernet Module
,,Module,,JAE191509BS,,Cisco,1/10 Gbps Ethernet Module
,,Module,,JAF1903ACJP,,Cisco,Fabric card module
,,Module,,JAF1903ACJH,,Cisco,Fabric card module
,,Module,,JAF1903ACNF,,Cisco,Fabric card module
,,Module,,JAF1903ACKC,,Cisco,Fabric card module
,,Module,,JAF1903ACPD,,Cisco,Fabric card module
,,Module,,"""""",,Cisco,module-1 FwdEngine-1
,,Module,,"""""",,Cisco,module-1 FwdEngine-2
,,Module,,"""""",,Cisco,module-1 FwdEngine-3
,,Module,,"""""",,Cisco,module-1 FwdEngine-4
,,Module,,"""""",,Cisco,module-1 FwdEngine-5
,,Module,,"""""",,Cisco,module-1 FwdEngine-6
,,Module,,"""""",,Cisco,module-5 FwdEngine-1
,,Module,,"""""",,Cisco,module-6 FwdEngine-1
,,Module,,"""""",,Cisco,module-7 FwdEngine-1
,,Module,,"""""",,Cisco,module-7 FwdEngine-2
,,Module,,"""""",,Cisco,module-7 FwdEngine-3
,,Module,,"""""",,Cisco,module-7 FwdEngine-4
,,Module,,"""""",,Cisco,module-7 FwdEngine-5
,,Module,,"""""",,Cisco,module-7 FwdEngine-6
,,Module,,"""""",,Cisco,module-8 FwdEngine-1
,,Module,,"""""",,Cisco,module-8 FwdEngine-2
,,Module,,"""""",,Cisco,module-8 FwdEngine-3
,,Module,,"""""",,Cisco,module-8 FwdEngine-4
,,Module,,"""""",,Cisco,module-8 FwdEngine-5
,,Module,,"""""",,Cisco,module-8 FwdEngine-6
,,Module,,"""""",,Cisco,module-9 FwdEngine-1
,,Module,,"""""",,Cisco,module-9 FwdEngine-2
,,Module,,"""""",,Cisco,module-9 FwdEngine-3
,,Module,,"""""",,Cisco,module-9 FwdEngine-4
,,Module,,"""""",,Cisco,module-9 FwdEngine-5
,,Module,,"""""",,Cisco,module-9 FwdEngine-6
,,Module,,"""""",,Cisco,module-9 FwdEngine-7
,,Module,,"""""",,Cisco,module-9 FwdEngine-8
,,Module,,"""""",,Cisco,module-9 FwdEngine-9
,,Module,,"""""",,Cisco,module-9 FwdEngine-10
,,Module,,"""""",,Cisco,module-9 FwdEngine-11
,,Module,,"""""",,Cisco,module-9 FwdEngine-12
