site_name,site_id,circuit_purpose,circuit_provider,circuit_speed,circuit_cost,circuit_ip,status,data_source,meraki_wan1_provider,meraki_wan1_speed,meraki_wan1_ip,wan1_arin_provider,meraki_wan2_provider,meraki_wan2_speed,meraki_wan2_ip,wan2_arin_provider,has_meraki_device,has_dt_tag,exclusion_reason,provider_match,wan1_arin_match,wan2_arin_match,would_get_dsr_badge
ARL 04,ARL 04,Primary,Altice West,300.0M x 30.0M,151.12,66.76.116.200,Enabled,csv_import,Altice West,300.0M x 30.0M,192.168.1.75,Private IP,AT&T Broadband II,300.0M x 300.0M,108.241.237.49,AT&T,Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN differs from Meraki,WAN2 ARIN matches Meraki,Yes
ARL 04,ARL 04 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,108.241.237.49,Enabled,csv_import,Altice West,300.0M x 30.0M,192.168.1.75,Private IP,AT&T Broadband II,300.0M x 300.0M,108.241.237.49,AT&T,Yes,Yes,Eligible,Exact match WAN2,WAN1 ARIN differs from Meraki,WAN2 ARIN matches Meraki,Yes
ARL 06,ARL 06,Primary,Altice West,300.0M x 30.0M,151.12,66.76.87.145,Enabled,csv_import,Brightspeed,100.0M x 100.0M,65.57.63.26,CenturyLink,Altice West,300.0M x 30.0M,74.194.6.150,Optimum,Yes,Yes,Eligible,Exact match WAN2,WAN1 ARIN differs from Meraki,WAN2 ARIN differs from Meraki,Yes
ARL 06,ARL 06 - B,Secondary,Brightspeed,100.0M x 100.0M,666.00,65.57.63.26,Enabled,csv_import,Brightspeed,100.0M x 100.0M,65.57.63.26,CenturyLink,Altice West,300.0M x 30.0M,74.194.6.150,Optimum,Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN differs from Meraki,WAN2 ARIN differs from Meraki,Yes
ARO 06,ARO 06,Primary,AT&T Broadband II,1000.0M x 1000.0M,165.01,99.11.64.81,Enabled,csv_import,AT&T Broadband II,1000.0M x 1000.0M,98.190.16.57,Cox Communications,Cox Business/BOI,300.0M x 50.0M,192.168.1.77,Private IP,Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN differs from Meraki,WAN2 ARIN differs from Meraki,Yes
ARO 06,ARO 06- B,Secondary,Cox Business/BOI,300.0M x 30.0M,266.67,72.196.89.121,Enabled,csv_import,AT&T Broadband II,1000.0M x 1000.0M,98.190.16.57,Cox Communications,Cox Business/BOI,300.0M x 50.0M,192.168.1.77,Private IP,Yes,Yes,Eligible,Exact match WAN2,WAN1 ARIN differs from Meraki,WAN2 ARIN differs from Meraki,Yes
AZC 01,AZC 01,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,68.15.189.118,Enabled,csv_import,Cox Business/BOI,300.0M x 30.0M,68.15.189.118,Cox Communications,Digi,Cell,192.168.2.125,Private IP,Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,Yes
AZF 01,AZF 01,Primary,CenturyLink Fiber Plus ,500.0M x 500.0M,529.00,72.166.76.98,Enabled,csv_import,CenturyLink Fiber Plus ,500.0M x 500.0M,72.166.76.98,Cox Communications,AT&T Cell,cell,192.168.2.108,Private IP,Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN differs from Meraki,WAN2 ARIN differs from Meraki,Yes
AZF 02,AZF 02,Primary,Altice West,500.0M x 50.0M,222.23,NaN,Enabled,csv_import,Lightpath ,300.0M x 300.0M,207.192.240.178,Optimum,Lightpath,300.0M x 300.0M,24.121.190.245,Optimum,Yes,Yes,Eligible,No match,WAN1 ARIN differs from Meraki,WAN2 ARIN differs from Meraki,No
AZF 02,AZF 02 -B,Secondary,Lightpath ,300.0M x 300.0M,435.00,207.192.240.178,Enabled,csv_import,Lightpath ,300.0M x 300.0M,207.192.240.178,Optimum,Lightpath,300.0M x 300.0M,24.121.190.245,Optimum,Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN differs from Meraki,WAN2 ARIN differs from Meraki,Yes
