Site Name,Site ID,Circuit Purpose,DSR Provider,ARIN Provider,Match Status,Match Score,DSR Speed,DSR Cost,Meraki Notes (Parsed),WAN1 Notes Provider,WAN1 Notes Speed,WAN2 Notes Provider,WAN2 Notes Speed,DSR IP,Matched WAN Port,WAN1 IP,WAN1 ARIN Provider,WAN2 IP,WAN2 ARIN Provider
CAL 03,CAL 03,Primary,GTT Ethernet,Frontier Communications,No Match,35,200.0M x 200.0M,$177.66,WAN 1 | GTT Ethernet | 200.0M x 200.0M | WAN 2 | AT&T Cell | Cell,GTT Ethernet,200.0M x 200.0M,AT&T Cell Cell,,47.180.197.231,WAN1,47.180.197.231,Frontier Communications,107.84.131.50,AT&T
CAL 14,CAL 14,Primary,One Ring Networks,"Skyriver Communications, Inc.",No Match,42,300.0M x 30.0M,$950.00,WAN 1 | DSR One Ring Networks | Fixed Wireless | | 20.0M x 5.0M | WAN 2 | Digi | Cell,One Ring Networks | Fixed Wireless |,20.0M x 5.0M,Digi Cell,,72.34.90.78,WAN1,72.34.90.78,"Skyriver Communications, Inc.",166.184.134.74,AT&T
CAL 29,,Primary,Frontier,Verizon,No Match,55,500.0M x 500.0M,$830.00,WAN 1 | Frontier | 500.0M x 500.0M | WAN 2 | VZW Cell | Cell,Frontier,500.0M x 500.0M,VZW Cell Cell,,,Unknown,12.3.118.66,AT&T,166.154.40.59,Verizon
CAL 47,CAL 47,Primary,One Ring Networks ,"Skyriver Communications, Inc.",No Match,42,300.0M x 30.0M,$950.00,WAN 1 | EB2-Frontier Fiber | 500.0M x 500.0M | WAN 2 | One Ring Networks | 300.0M x 30.0M,EB2-Frontier Fiber,500.0M x 500.0M,One Ring Networks,300.0M x 30.0M,72.34.92.210,WAN2,47.181.223.18,Frontier Communications,72.34.92.210,"Skyriver Communications, Inc."
CALW01,CALW01,Primary,EB2-Frontier Fiber,,No Match,0,1000.0M x 1000.0M,$339.00,,,,,,47.178.4.124,Unknown,,,,
CAN00,CAN00,Primary,Comcast Workplace,,No Match,0,300.0M x 30.0M,$186.18,,,,,,96.81.183.205,Unknown,,,,
CAN00,CAN00 -B,Secondary,AT&T Broadband II,,No Match,0,300.0M x 300.0M,$105.01,,,,,,108.86.147.217,Unknown,,,,
CAN 22,CAN 22,Primary,Vista Broadband,Comcast,No Match,36,15.0M x 15.0M,$250.00,WAN 1 | Comcast Workplace | 500.0M x 30.0M | WAN 2 | AT&T Broadband II | 300.0M x 300.0M,Comcast Workplace,500.0M x 30.0M,AT&T Broadband II,300.0M x 300.0M,206.176.254.42,Unknown,50.213.15.41,Comcast,99.87.250.177,AT&T
CAN 35,CAN 35- B,Secondary,Comcast,AT&T,No Match,57,1000.0M x 1000.0M,$165.01,WAN 1 | AT&T Broadband II | 1000.0M x 1000.0M | WAN 2 | Comcast | 300.0M x 35.0M,AT&T Broadband II,1000.0M x 1000.0M,Comcast,300.0M x 35.0M,99.156.67.249,WAN1,99.156.67.249,AT&T,50.255.225.209,Comcast
CAO 03,CAO 03,Primary,GTT Ethernet,Frontier Communications,No Match,35,200.0M x 200.0M,$177.66,WAN 1 | EB2-Frontier Fiber | 500.0M x 500.0M | WAN 2 | GTT Ethernet | 200.0M x 200.0M,EB2-Frontier Fiber,500.0M x 500.0M,GTT Ethernet,200.0M x 200.0M,47.180.218.74,WAN2,47.181.255.152,Frontier Communications,47.180.218.74,Frontier Communications
CAS00,CAS00,Primary,Cox Business/BOI,,No Match,0,300.0M x 30.0M,$266.67,,,,,,98.178.226.110,Unknown,,,,
CAS00,CAS00 -B,Secondary,AT&T Broadband II,,No Match,0,300.0M x 300.0M,$105.01,,,,,,76.210.250.113,Unknown,,,,
CAS 13,CAS 13,Primary,Cox Business/BOI,,No Match,0,300.0M x 30.0M,$266.67,,,,,,174.67.169.247,Unknown,,,,
CAS 13,CAS 13 -B,Secondary,AT&T Broadband II,,No Match,0,1000.0M x 1000.0M,$165.01,,,,,,104.185.80.233,Unknown,,,,
CAS 24,CAS 24,Primary,Spectrum,VERMONT PARK PLAZA,No Match,50,750.0M x 35.0M,$172.23,WAN 1 | Spectrum | 750.0M x 35.0M | WAN 2 | AT&T Broadband II | 300.0M x 300.0M,Spectrum,750.0M x 35.0M,AT&T Broadband II,300.0M x 300.0M,173.198.38.138,WAN1,173.198.38.138,VERMONT PARK PLAZA,104.13.227.217,AT&T
CAS 39,CAS 39,Primary,Spectrum,VERMONT PARK PLAZA,No Match,50,750.0M x 35.0M,$172.23,WAN 1 | Spectrum | 750.0M x 35.0M | WAN 2 | AT&T Broadband II | 300.0M x 300.0M,Spectrum,750.0M x 35.0M,AT&T Broadband II,300.0M x 300.0M,173.198.38.142,WAN1,173.198.38.142,VERMONT PARK PLAZA,104.190.2.81,AT&T
