Site Name,Site ID,Circuit Purpose,DSR Provider,ARIN Provider,Notes Provider,Match Status,Match Score,Match Source,Match Reason,DSR Speed,DSR Cost
CAS 38,CAS 38,Primary,Cox Business/BOI,Cox Communications,Cox Business BOI,Match,100,ARIN (mapped),Mapped match with ARIN,300.0M x 30.0M,$266.67
CAS 38,CAS 38 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,1000.0M x 1000.0M,$165.01
CAS 39,CAS 39,Primary,Spectrum,VERMONT PARK PLAZA,Spectrum,Match,95,Notes,Direct match with notes,750.0M x 35.0M,$172.23
CAS 39,CAS 39 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
CAS 40,,Primary,Frontier,Frontier Communications,Frontier Communications,Match,100,ARIN (fuzzy),Fuzzy match with ARIN (100%),500.0M x 500.0M,$1000.00
CAS 41,,Primary,Frontier,Frontier Communications,Frontier Communications,Match,100,ARIN (fuzzy),Fuzzy match with ARIN (100%),500.0M x 500.0M,$830.00
CAS 43,CAS 43,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$244.45
CAS 43,CAS 43 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
CAS 44,CAS 44,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$172.23
CAS 44,CAS 44 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
CAS 45,CAS 45 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,1000.0M x 1000.0M,$165.01
CAS 46,,Primary,AT&T,AT&T,AT&T,Match,100,ARIN,Direct match with ARIN,20.0M x 20.0M,$561.78
CAS 47,CAS 47,Primary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,1000.0M x 200.0M,$165.00
CAS 48,CAS 48,Primary,EB2-Frontier Fiber,Frontier Communications,Frontier Communications,Match,100,ARIN (fuzzy),Fuzzy match with ARIN (100%),500.0M x 500.0M,$245.00
CAS 49,CAS 49,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$172.23
CAS 50,CAS 50,Primary,GTT Ethernet,Frontier Communications,GTT Ethernet,Match,95,Notes,Direct match with notes,200.0M x 200.0M,$177.66
CAS 50,CAS 50 -B,Secondary,EB2-Frontier Fiber,Frontier Communications,EB2-Frontier Fiber,Match,95,Notes,Direct match with notes,500.0M x 500.0M,$245.00
CAS 51,CAS 51,Primary,Cox Business/BOI ,Cox Communications,Cox Business BOI,Match,100,ARIN (mapped),Mapped match with ARIN,300.0M x 30.0M,$266.67
CAS 51,CAS 51 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,1000.0M x 1000.0M,$165.01
CAS 53,CAS 53,Primary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,2000.0M x 2000.0M,$240.04
CAS 53,CAS 53 -B,Secondary,Cox Business/BOI,Cox Communications,Cox Business BOI,Match,100,ARIN (mapped),Mapped match with ARIN,300.0M x 30.0M,$266.67
COB 01,COB 01,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
COB 01,COB 01- B,Secondary,EB2-Centurylink DSL,CenturyLink,EB2-Centurylink DSL,Match,100,ARIN,Direct match with ARIN,100.0M x 10.0M,$128.00
COD00,COD00,Primary,Comcast Workplace,,,No Match,0,,No match found,600.0M x 35.0M,$234.45
COD 01,,Primary,Comcast,Comcast,Comcast,Match,100,ARIN,Direct match with ARIN,300.0M x 35.0M,
COD 02,COD 02,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,300.0M x 25.0M,$186.18
COD 03,,Primary,Comcast,Comcast,Comcast,Match,100,ARIN,Direct match with ARIN,300.0M x 35.0M,
COD 04,COD 04,Primary,Comcast Workplace,Comcast Cable Communications,Comcast Workplace,Match,95,Notes,Direct match with notes,750.0M x 35.0M,$234.45
COD 05,COD 05,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
COD 06,COD 06,Primary,Lumen,CenturyLink,CenturyLink,Match,100,ARIN (mapped),Mapped match with ARIN,100.0M x 10.0M,$139.99
COD 07,COD 07,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,300.0M x 30.0M,$186.18
COD 08,,Primary,Comcast,Comcast,Comcast,Match,100,ARIN,Direct match with ARIN,300.0M x 35.0M,
COD 09,,Primary,Comcast,Comcast,Comcast,Match,100,ARIN,Direct match with ARIN,300.0M x 30.0M,
COD 10,COD 10,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,500.0M x 30.0M,$175.56
COD 11,COD 11,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
COD 13,,Primary,Comcast,Comcast,Comcast,Match,100,ARIN,Direct match with ARIN,300.0M x 35.0M,
COD 14,COD 14,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,300.0M x 25.0M,$186.18
COD 18,COD 18,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,1200.0M x 35.0M,$282.23
COD 19,COD 19,Primary,CenturyLink Fiber Plus,CenturyLink,CenturyLink,Match,100,ARIN,Direct match with ARIN,500.0M x 500.0M,$600.00
COD 20,COD 20,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,500.0M x 30.0M,$175.56
COD 21,COD 21,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,500.0M x 30.0M,$175.56
COD 21,COD 21,Secondary,CenturyLink/Qwest,CenturyLink,CenturyLink,Match,100,ARIN,Direct match with ARIN,40.0M x 5.0M,$99.99
COD 23,COD 23- B,Secondary,EB2-Lumen DSL,CenturyLink,EB2-Lumen DSL,Match,100,ARIN (mapped),Mapped match with ARIN,100.0M x 10.0M,$128.00
COD 24,COD 24,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
COD 25,COD 25,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
COD 25,COD 25- B,Secondary,EB2-Centurylink DSL,CenturyLink,EB2-Centurylink DSL,Match,100,ARIN,Direct match with ARIN,140.0M x 20.0M,$151.00
COD 26,COD 26,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
COD 26,COD 26- B,Secondary,EB2-Centurylink DSL,Western Disposal,EB2-Centurylink DSL,Match,95,Notes,Direct match with notes,80.0M x 10.0M,$128.00
COD 27,COD 27,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
COD 28,COD 28,Primary,Comcast Workplace,WYATT CREATIVE,Comcast Workplace,Match,95,Notes,Direct match with notes,1200.0M x 35.0M,$282.23
COD 29,COD 29,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
COD 30,COD 30,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,300.0M x 30.0M,$175.56
COD 31,COD 31,Primary,MallCom Networks,"Lrm-Com, Inc.",MallCom Networks,Match,95,Notes,Direct match with notes,300.0M x 30.0M,$289.00
COD 32,COD 32,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,500.0M x 30.0M,$175.56
COD 32,COD 32,Secondary,CenturyLink/Qwest,CenturyLink,CenturyLink,Match,100,ARIN,Direct match with ARIN,100.0M x 10.0M,$169.99
COD 34,COD 34,Primary,Lumen/Qwest,CenturyLink,CenturyLink,Match,100,ARIN (mapped),Mapped match with ARIN,100.0M x 10.0M,$149.99
COD 35,COD 35,Primary,LiveWire Net,"Live Wire Networks, Inc",LiveWire Net,Match,95,Notes,Direct match with notes,75.0M x 15.0M,$110.00
COD 35,COD 35 -B,Secondary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,500.0M x 30.0M,$175.56
COD 36,COD 36,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,300.0M x 30.0M,$175.56
COD 37,COD 37,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,300.0M x 25.0M,$186.18
COD 38,COD 38,Secondary,CenturyLink/Qwest,CenturyLink,CenturyLink,Match,100,ARIN,Direct match with ARIN,100.0M x 10.0M,$169.99
COD 39,COD 39,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,300.0M x 30.0M,$186.18
COD 40,COD 40,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,300.0M x 30.0M,$186.18
COD 41,,Primary,Lumen,Level 3 Parent,Lumen,Match,95,Notes,Direct match with notes,300.0M x 300.0M,$1145.00
COD 42,COD 42,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
COG 01,COG 01,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$172.23
COG 01,COG 01- B,Secondary,EB2-Centurylink DSL,CenturyLink,EB2-Centurylink DSL,Match,100,ARIN,Direct match with ARIN,80.0M x 10.0M,$128.00
Cog 02,,Primary,Comcast,Comcast,Comcast,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,
COG 02,COG 02,Primary,Comcast Workplace,,,No Match,0,,No match found,750.0M x 35.0M,$234.45
COG 02,COG 02- B,Secondary,Community Broadband Network,,,No Match,0,,No match found,100.0M x 100.0M,$105.00
COG 03,COG 03,Primary,Spectrum,Charter Communications,,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$244.45
CON 02,CON 02,Primary,Comcast Workplace,Comcast,,Match,100,ARIN,Direct match with ARIN,300.0M x 30.0M,$186.18
CON 03,CON 03,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,500.0M x 30.0M,$175.56
CON 03,CON 03- B,Secondary,FORT COLLINS CONNEXION,AT&T,FORT COLLINS CONNEXION,Match,95,Notes,Direct match with notes,500.0M x 500.0M,$199.95
COP 02,COP 02,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,600.0M x 35.0M,$234.45
COP 03,COP 03,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
COP 03,COP 03- B,Secondary,EB2-Centurylink DSL,CenturyLink,EB2-Centurylink DSL,Match,100,ARIN,Direct match with ARIN,100.0M x 10.0M,$128.00
COS 01,COS 01,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
COS 02,COS 02,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,300.0M x 30.0M,$186.18
COS 03,COS 03,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,300.0M x 25.0M,$186.18
COS 03,COS 03- B,Secondary,EB2-Centurylink DSL,CenturyLink,EB2-Centurylink DSL,Match,100,ARIN,Direct match with ARIN,100.0M x 10.0M,$128.00
COS 04,COS 04,Primary,CenturyLink Fiber Plus,CenturyLink,CenturyLink,Match,100,ARIN,Direct match with ARIN,500.0M x 500.0M,$540.00
COS 05,COS 05,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,300.0M x 25.0M,$186.18
COS 05,COS 05-B,Secondary,Unite Private Networks,Unite Private Networks LLC.,Unite Private Networks,Match,95,Notes,Direct match with notes,300.0M x 300.0M,$699.00
COS 06,COS 06,Primary,Comcast Workplace,Comcast,,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
COS 07,COS 07,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
COW 01,COW 01,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,1000.0M x 50.0M,$355.56
COW 02,COW 02,Primary,Elevate Internet,Internet Assigned Numbers Authority,Elevate Internet,Match,95,Notes,Direct match with notes,1000.0M x 1000.0M,$159.95
COX 01,WDCO01,Primary,Comcast Workplace,Comcast,Unknown,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
FLD 01,FLD 01,Primary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,1000.0M x 1000.0M,$165.01
FLD 01,FLD 01 -B,Secondary,Spectrum,"Charter Communications, Inc",Spectrum,Match,95,Notes,Direct match with notes,750.0M x 35.0M,$172.23
FLD 02,FLD 02,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$172.23
FLD 04,FLD 04,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$244.45
FLD 04,FLD 04 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
FLF 01,FLF 01,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
FLG 01,FLG 01,Primary,Cox Business/BOI,Cox Communications,Cox,Match,100,ARIN (mapped),Mapped match with ARIN,300.0M x 30.0M,$266.67
FLG 02,FLG 02,Primary,Cox Business/BOI,Cox Communications,Cox Business BOI,Match,100,ARIN (mapped),Mapped match with ARIN,300.0M x 30.0M,$266.67
FLG 02,FLG 02 -B,Secondary,Ocala Fiber Network,Ocala Fiber Network,Ocala Fiber Network,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$300.00
FLG 03,FLG 03,Primary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,1000.0M x 1000.0M,$165.01
FLG 03,FLG 03 -B,Secondary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,500.0M x 30.0M,$175.56
FLJ 00,FLJ 00,Primary,Comcast Workplace,,,No Match,0,,No match found,300.0M x 30.0M,$175.56
FLJ 00,FLJ 00 -B,Secondary,AT&T Broadband II,,,No Match,0,,No match found,300.0M x 300.0M,$105.01
FLJ 01,FLJ 01,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
FLJ 01,FLJ 01 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
FLJ 02,FLJ 02,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,300.0M x 30.0M,$175.56
FLJ 02,FLJ 02 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
FLJ 03,FLJ 03,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,300.0M x 30.0M,$175.56
FLJ 03,FLJ 03 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
FLJ 05,FLJ 05,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,300.0M x 30.0M,$175.56
FLJ 05,FLJ 05 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
FLJ 06,FLJ 06,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
FLJ 06,FLJ 06- B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,1000.0M x 1000.0M,$165.01
FLJ 07,FLJ 07,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
FLJ 07,FLJ 07 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
FLJ 09,FLJ 09,Primary,Comcast Workplace,Cisco Test,Comcast Workplace,Match,95,Notes,Direct match with notes,300.0M x 30.0M,$175.56
FLJ 09,FLJ 09 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
FLJ 10,FLJ 10,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
FLJ 10,FLJ 10 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
FLJ 11,FLJ 11,Primary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,500.0M x 100.0M,$215.02
FLJ 12,FLJ 12,Primary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,1000.0M x 1000.0M,$165.01
FLJ 12,FLJ 12-B,Secondary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
FLM 01,FLM 01,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$244.45
FLM 01,FLM 01 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
FLM 02,FLM 02,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$244.45
FLM 02,FLM 02 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
FLO 01,FLO 01,Primary,Spectrum,"Charter Communications, Inc",,No Match,0,,No match found,750.0M x 35.0M,$172.23
FLO 02,FLO 02,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$172.23
FLO 03,FLO 03,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$244.45
FLO 03,FLO 03 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,1000.0M x 1000.0M,$165.01
FLO 04,FLO 04,Primary,Spectrum,"Charter Communications, Inc",Spectrum,Match,95,Notes,Direct match with notes,750.0M x 35.0M,$244.45
FLO 04,FLO 04 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
FLO 05,FLO 05,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$244.45
FLO 06,FLO 06,Primary,Spectrum,"Charter Communications, Inc",Spectrum,Match,95,Notes,Direct match with notes,750.0M x 35.0M,$172.23
FLO 06,FLO 06 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
FLO 07,FLO 07,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$244.45
FLO 07,FLO 07 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,1000.0M x 1000.0M,$165.01
FLO 08,FLO 08,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$244.45
FLO 09,FLO 09,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$244.45
FLO 10,FLO 10,Primary,Spectrum,Charter Communications,,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$244.45
FLO 11,FLO 11,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,600.0M x 35.0M,$234.45
FLO 12,FLO 12,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$172.23
FLO 12,FLO 12 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
FLO 13,FLO 13,Primary,Spectrum,Charter Communications,Charter Communications LLC,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$172.23
FLO 14,FLO 14,Primary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,1000.0M x 200.0M,$165.00
FLO 14,FLO 14- B,Secondary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$172.23
FLO 15,FLO 15,Primary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,1000.0M x 1000.0M,$165.01
FLO 15,FLO 15- B,Secondary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$172.23
FLO 16,FLO 16,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$172.23
FLP 01,FLP 01,Primary,Cox Business/BOI,Cox Communications,Cox Business BOI,Match,100,ARIN (mapped),Mapped match with ARIN,300.0M x 30.0M,$266.67
FLP 01,FLP 01- B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,1000.0M x 1000.0M,$165.01
FLP 02,FLP 02,Primary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,200.0M x 200.0M,$105.00
FLP 03,FLP 03,Primary,Mediacom/BOI,,,No Match,0,,No match found,300.0M x 20.0M,$244.69
FLP 03,FLP 03 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
FLP 04,FLP 04,Primary,Cox Business/BOI,Cox Communications,Cox Business BOI,Match,100,ARIN (mapped),Mapped match with ARIN,300.0M x 30.0M,$266.67
FLP 04,FLP 04 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
FLS 01,FLS 01,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,300.0M x 30.0M,$175.56
FLS 01,FLS 01 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
FLS 02,FLS 02,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,600.0M x 35.0M,$234.45
FLS 03,FLS 03,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
FLS 03,FLS 03 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
FLS 04,FLS 04,Primary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,1000.0M x 1000.0M,$165.01
FLS 04,FLS 04 -B,Secondary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,500.0M x 30.0M,$175.56
FLT 01,FLT 01,Primary,MetroNet,Metronet,MetroNet,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$129.95
FLT 02,FLT 02- B,Secondary,MetroNet,Metronet,MetroNet,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$129.95
GAA 00,GAA 00,Primary,AT&T Broadband II,,,No Match,0,,No match found,1000.0M x 1000.0M,$165.01
GAA 00,GAA 00 -B,Secondary,Comcast Workplace,,,No Match,0,,No match found,750.0M x 35.0M,$234.45
GAA 01,GAA 01- B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
GAA 03,GAA 03,Primary,Comcast Workplace,Comcast,Comcast Cable Communications LLC,Match,100,ARIN,Direct match with ARIN,300.0M x 25.0M,$186.18
GAA 03,GAA 03 -B,Secondary,AT&T Broadband II,AT&T,Private Customer - AT&T Internet Services,Match,100,ARIN,Direct match with ARIN,1000.0M x 1000.0M,$165.01
GAA 05,GAA 05,Primary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
GAA 06,GAA 06,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
GAA 06,GAA 06 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
GAA 07,GAA 07,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$172.23
GAA 08,GAA 08,Primary,Comcast Workplace,Comcast,Comcast Workplace,Match,100,ARIN,Direct match with ARIN,750.0M x 35.0M,$234.45
GAA 08,GAA 08 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
GAA 10,GAA 10- B,Secondary,Comcast,AT&T,AT&T Broadband II,No Match,0,,No match found,1000.0M x 1000.0M,$165.01
GAA 11,GAA 11,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$244.45
GAA 11,GAA 11 -B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,300.0M x 300.0M,$105.01
GAA 12,GAA 12- B,Secondary,Comcast,AT&T,AT&T Broadband II,No Match,0,,No match found,1000.0M x 1000.0M,$165.01
GAA 13,GAA 13- B,Secondary,Comcast,AT&T,AT&T Broadband II,No Match,0,,No match found,1000.0M x 1000.0M,$165.01
GAA 14,GAA 14- B,Secondary,AT&T Broadband II,AT&T,AT&T Broadband II,Match,100,ARIN,Direct match with ARIN,1000.0M x 1000.0M,$165.01
GAA 15,GAA 15- B,Secondary,Comcast,AT&T,AT&T Broadband II,No Match,0,,No match found,1000.0M x 1000.0M,$165.01
GAA 17,GAA 17,Primary,Spectrum,Charter Communications,Spectrum,Match,100,ARIN (mapped),Mapped match with ARIN,750.0M x 35.0M,$244.45
