hostname,ip_address,position,model,serial_number,port_location,vendor,notes
ALA-3130-Rack3-ENC3-A.dtc_phx.com,10.101.255.120,Standalone,WS-CBS3130X-S,FOC1420H01S,,,
,,Module,800-27645-02,FDO141815M2,Switch 1 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO14181F25,Switch 1 - Slot 2 - TwinGig Converter Module,,
ALA-3130-Rack3-ENC3-B.dtc_phx.com,10.101.255.121,Standalone,WS-CBS3130X-S,FOC1437H010,,,
,,Module,800-27645-02,FDO14340BUE,Switch 1 - Slot 1 - TwinGig Converter Module,,
,,Module,800-27645-02,FDO14340AJT,Switch 1 - Slot 2 - TwinGig Converter Module,,
aladasa06a,10.101.255.35,Standalone,DCS-7050SX3-48YC8,JPA2314P1UM,,,
,,SFP,QSFP-40GSR4-AN-L,USW1000001025821,"""""",,
,,SFP,QSFP-100G-SR4   ,XMH225102086    ,"""""",,
,,SFP,QSFP-100G-SR4   ,XMH225102081    ,"""""",,
aladasa06b,10.101.255.36,Standalone,DCS-7050SX3-48YC8,JPA2313P3HE,,,
,,SFP,QSFP-40GSR4-AN-L,USW1000001025822,"""""",,
,,SFP,QSFP-100G-SR4   ,XMH225102083    ,"""""",,
,,SFP,QSFP-100G-SR4   ,XMH225102104    ,"""""",,
aladasa08a,10.101.255.37,Standalone,DCS-7050SX3-48YC8,JPA2314P1V5,,,
,,SFP,QSFP-40GSR4-AN-L,USW1000001025816,"""""",,
,,SFP,QSFP-100G-SR4   ,XMH225102282    ,"""""",,
,,SFP,QSFP-100G-SR4   ,XMH225100731    ,"""""",,
aladasa08b,10.101.255.38,Standalone,DCS-7050SX3-48YC8,JPA2314P1V7,,,
,,SFP,QSFP-40GSR4-AN-L,USW1000001025815,"""""",,
,,SFP,QSFP-100G-SR4   ,XMH225000098    ,"""""",,
,,SFP,QSFP-100G-SR4   ,XMH225100725    ,"""""",,
Alameda-IDFA-3750-Stack.dtc_phx.com,10.101.255.50,Master,WS-C3750-48PS-S,FDO1239X2T5,,,
,,Slave,WS-C3750-48PS-S,FDO1239X2Q6,,,
,,SFP,GLC-SX-MMD,FNS12410EPW     ,GigabitEthernet1/0/1,Finisar,
,,SFP,GLC-T,AGM142623D0     ,GigabitEthernet1/0/3,Avago,
,,SFP,GLC-T,AGM151125MA     ,GigabitEthernet1/0/4,Avago,
,,SFP,GLC-SX-MMD,AGS084401HZ     ,GigabitEthernet1/0/2,Avago,
,,SFP,GLC-T               ,00000MTC13390224,GigabitEthernet2/0/3,,
,,SFP,GLC-T               ,00000MTC1611071N,GigabitEthernet2/0/4,,
,,SFP,GLC-SX-MMD,AGM1248152A     ,GigabitEthernet2/0/1,Avago,
,,SFP,GLC-SX-MMD,FNS12410DKJ     ,GigabitEthernet2/0/2,Finisar,
Alameda-IDFA-VG224,10.101.14.21,Standalone,VG224,FHK1242F1UG,,,
Alameda-IDFB-3750-Stack.dtc_phx.com,10.101.255.60,Standalone,WS-C3750-48PS-S,CAT0847R1TZ,,,
,,SFP,GLC-SX-MMD,AGS084401JC     ,GigabitEthernet1/0/1,Avago,
,,SFP,GLC-SX-MMD,FNS0846B2E1     ,GigabitEthernet1/0/2,Finisar,
Alameda-IDFB-VG224.trtc.com,10.101.14.22,Standalone,VG224,FHK1335F2S8,,,
Alameda-IDFC-3750-Stack.dtc_phx.com,10.101.255.70,Master,WS-C3750-48PS-S,FDO1239X2T6,,,
,,Slave,WS-C3750-48PS-S,FDO1239X2T0,,,
,,Slave,WS-C3750-48PS-S,FDO1239X2PZ,,,
,,Slave,WS-C3750-48PS-S,FDO1421X2Z7,,,
,,SFP,GLC-SX-MMD,FNS12410ENQ     ,GigabitEthernet1/0/1,Finisar,
,,SFP,GLC-SX-MMD,FNS111711YV     ,GigabitEthernet1/0/3,Finisar,
,,SFP,GLC-SX-MMD,AGM12491920     ,GigabitEthernet2/0/1,Avago,
,,SFP,GLC-SX-MMD,FNS111711YX     ,GigabitEthernet2/0/3,Finisar,
,,SFP,GLC-SX-MMD,FNS111711H1     ,GigabitEthernet2/0/4,Finisar,
,,SFP,GLC-SX-MMD,FNS12420JKG     ,GigabitEthernet3/0/1,Finisar,
Alameda-IDFC-VG224,10.101.14.23,Standalone,VG224,FHK1242F1UF,,,
Alameda-IDFD-3750-Stack.dtc_phx.com,10.101.255.80,Standalone,WS-C3750-48PS-S,FDO1239X2TA,,,
,,SFP,GLC-SX-MMD,FNS12370NSR     ,GigabitEthernet1/0/1,Finisar,
,,SFP,GLC-SX-MMD,FNS14141W1R     ,GigabitEthernet1/0/2,Finisar,
Alameda-IDFD-VG224,10.101.14.24,Standalone,VG224,FHK1242F1UH,,,
Alameda-IDFE-3750-Stack.dtc_phx.com,10.101.255.90,Master,WS-C3750V2-48PS-S,FDO1738Y16S,,,
,,Slave,WS-C3750V2-48PS-S,FDO1738Y19V,,,
,,Slave,WS-C3750V2-48PS-S,FDO1738Y02E,,,
,,SFP,GLC-SX-MMD,FNS12410EP2     ,GigabitEthernet1/0/1,Finisar,
,,SFP,GLC-SX-MMD,FNS111711YP     ,GigabitEthernet1/0/2,Finisar,
,,SFP,GLC-SX-MMD,AGM140616AD     ,GigabitEthernet3/0/1,Avago,
,,SFP,SFP-GE-S            ,FNS132700J1     ,GigabitEthernet3/0/2,,
