AZP 00,AZP000,Primary,Cox Business/BOI,,,No Match,0,,No match found,500.0M x 35.0M,$387.24
CAL000,CAL000,Primary,Frontier FIOS,,,No Match,0,,No match found,500.0M x 500.0M,$59.99
CAL000,CAL000 -B,Secondary,Spectrum,,,No Match,0,,No match found,750.0M x 35.0M,$172.23
CALW01,CALW01,Primary,EB2-Frontier Fiber,,,No Match,0,,No match found,1000.0M x 1000.0M,$339.00
CAN00,CAN00,Primary,Comcast Workplace,,,No Match,0,,No match found,300.0M x 30.0M,$186.18
CAN00,CAN00 -B,Secondary,AT&T Broadband II,,,No Match,0,,No match found,300.0M x 300.0M,$105.01
CAN 22,CAN 22,Primary,Vista Broadband,,,No Match,0,,No match found,15.0M x 15.0M,$250.00
CAN 35,CAN 35- B,Secondary,Comcast,AT&T,AT&T Broadband II,No Match,0,,No match found,1000.0M x 1000.0M,$165.01
CAS00,CAS00,Primary,Cox Business/BOI,,,No Match,0,,No match found,300.0M x 30.0M,$266.67
CAS00,CAS00 -B,Secondary,AT&T Broadband II,,,No Match,0,,No match found,300.0M x 300.0M,$105.01
CAS 13,CAS 13,Primary,Cox Business/BOI,,,No Match,0,,No match found,300.0M x 30.0M,$266.67
CAS 13,CAS 13 -B,Secondary,AT&T Broadband II,,,No Match,0,,No match found,1000.0M x 1000.0M,$165.01
COD00,COD00,Primary,Comcast Workplace,,,No Match,0,,No match found,600.0M x 35.0M,$234.45
COG 02,COG 02,Primary,Comcast Workplace,,,No Match,0,,No match found,750.0M x 35.0M,$234.45
COG 02,COG 02- B,Secondary,Community Broadband Network,,,No Match,0,,No match found,100.0M x 100.0M,$105.00
FLJ 00,FLJ 00,Primary,Comcast Workplace,,,No Match,0,,No match found,300.0M x 30.0M,$175.56
FLJ 00,FLJ 00 -B,Secondary,AT&T Broadband II,,,No Match,0,,No match found,300.0M x 300.0M,$105.01
FLO 01,FLO 01,Primary,Spectrum,"Charter Communications, Inc",,No Match,0,,No match found,750.0M x 35.0M,$172.23
FLP 03,FLP 03,Primary,Mediacom/BOI,,,No Match,0,,No match found,300.0M x 20.0M,$244.69
GAA 00,GAA 00,Primary,AT&T Broadband II,,,No Match,0,,No match found,1000.0M x 1000.0M,$165.01
GAA 00,GAA 00 -B,Secondary,Comcast Workplace,,,No Match,0,,No match found,750.0M x 35.0M,$234.45
GAA 10,GAA 10- B,Secondary,Comcast,AT&T,AT&T Broadband II,No Match,0,,No match found,1000.0M x 1000.0M,$165.01
GAA 12,GAA 12- B,Secondary,Comcast,AT&T,AT&T Broadband II,No Match,0,,No match found,1000.0M x 1000.0M,$165.01
GAA 13,GAA 13- B,Secondary,Comcast,AT&T,AT&T Broadband II,No Match,0,,No match found,1000.0M x 1000.0M,$165.01
GAA 15,GAA 15- B,Secondary,Comcast,AT&T,AT&T Broadband II,No Match,0,,No match found,1000.0M x 1000.0M,$165.01
GAA 18,GAA 18- B,Secondary,Comcast,AT&T,AT&T Broadband II,No Match,0,,No match found,1000.0M x 1000.0M,$165.01
GAA 21,GAA 21- B,Secondary,"Comcast Cable Communications, LLC",AT&T,AT&T Broadband II,No Match,0,,No match found,1000.0M x 1000.0M,$165.01
GAA 27,GAA 27- B,Secondary,Comcast,AT&T,AT&T Broadband II,No Match,0,,No match found,1000.0M x 1000.0M,$165.01
GAA 30,GAA 30- B,Secondary,Comcast,AT&T,AT&T Broadband II,No Match,0,,No match found,1000.0M x 1000.0M,$165.01
GAACALLCTR,GAACALLCTR,Primary,Spectrum,,,No Match,0,,No match found,750.0M x 35.0M,$244.45
GAACALLCTR,GAACALLCTR -B,Secondary,AT&T Broadband II,,,No Match,0,,No match found,300.0M x 300.0M,$105.01
ILC00,ILC00,Primary,Comcast Workplace,,,No Match,0,,No match found,300.0M x 30.0M,$175.56
ILC00,ILC00 -B,Secondary,AT&T Broadband II,,,No Match,0,,No match found,300.0M x 300.0M,$105.01
ILC 01,ILC 01- B,Secondary,Comcast,AT&T,AT&T Broadband II,No Match,0,,No match found,1000.0M x 1000.0M,$165.01
ILC 06,ILC 06- B,Secondary,Comcast,AT&T,AT&T Broadband II,No Match,0,,No match found,1000.0M x 1000.0M,$165.01
ILC 15,ILC 15- B,Secondary,Comcast,AT&T,AT&T Broadband II,No Match,0,,No match found,1000.0M x 1000.0M,$165.01
ILC 18,ILC 18- B,Secondary,Comcast,AT&T,AT&T Broadband II,No Match,0,,No match found,1000.0M x 1000.0M,$165.01
ILC 19,ILC 19- B,Secondary,Comcast,AT&T,AT&T Broadband II,No Match,0,,No match found,1000.0M x 1000.0M,$165.01
ILC 29,ILC 29- B,Secondary,Comcast,AT&T,AT&T Broadband II,No Match,0,,No match found,1000.0M x 1000.0M,$165.01
ILR01,ILR01,Primary,Comcast Workplace,,,No Match,0,,No match found,750.0M x 35.0M,$234.45
ILX 01,ILX 01,Primary,Comcast Workplace,,,No Match,0,,No match found,300.0M x 30.0M,$186.18
INIW00,INIW00,Primary,Comcast Workplace,,,No Match,0,,No match found,300.0M x 30.0M,$186.18
INIW00,INIW00 -B,Secondary,AT&T Broadband II,,,No Match,0,,No match found,300.0M x 300.0M,$105.01
INW 01,INW 01- B,Secondary,Comcast,AT&T,AT&T Broadband II,No Match,0,,No match found,1000.0M x 1000.0M,$165.01
KONFARA,KONFARA,Primary,Cox Business/BOI,,,No Match,0,,No match found,500.0M x 35.0M,$342.23
KSK00N,KSK00N,Primary,Spectrum,,,No Match,0,,No match found,750.0M x 35.0M,$207.45
KSK00N,KSK00N -B,Secondary,AT&T Broadband II,,,No Match,0,,No match found,300.0M x 300.0M,$105.01
KSK 01,KSK 01- B,Secondary,Comcast,AT&T,AT&T Broadband II,No Match,0,,No match found,1000.0M x 1000.0M,$165.01
KYN 00,KYN 00,Primary,Cincinnati Bell,,,No Match,0,,No match found,400.0M x 200.0M,$84.99
KYN 00,KYN 00 -B,Secondary,Spectrum,,,No Match,0,,No match found,750.0M x 35.0M,$172.23
MIA00,MIA00,Primary,Comcast Workplace,,,No Match,0,,No match found,750.0M x 35.0M,$234.45
