hostname,ip_address,position,model,serial_number,port_location,vendor,shared_with
,,SFP,QSFP-40G-SR-BD,AVM1821S0EE,Transceiver(slot:7-port:3),,"HQ-7000-02-PCI.dtc_phx.com, HQ-7000-02-ADMIN, HQ-7000-02-EDGE.dtc_phx.com"
,,SFP,QSFP-40G-SR-BD,AVM1843U62A,Transceiver(slot:7-port:4),,"HQ-7000-02-PCI.dtc_phx.com, HQ-7000-02-ADMIN, HQ-7000-02-EDGE.dtc_phx.com"
,,SFP,QSFP-40G-SR-BD,AVM1821S24X,Transceiver(slot:7-port:5),,"HQ-7000-02-PCI.dtc_phx.com, HQ-7000-02-ADMIN, HQ-7000-02-EDGE.dtc_phx.com"
,,SFP,QSFP-40G-SR-BD,AVM1821S0EK,Transceiver(slot:7-port:7),,"HQ-7000-02-PCI.dtc_phx.com, HQ-7000-02-ADMIN, HQ-7000-02-EDGE.dtc_phx.com"
,,SFP,QSFP-40G-SR-BD,AVM1815S0EN,Transceiver(slot:7-port:8),,"HQ-7000-02-PCI.dtc_phx.com, HQ-7000-02-ADMIN, HQ-7000-02-EDGE.dtc_phx.com"
,,SFP,QSFP-40G-SR-BD,AVM1827S29Y,Transceiver(slot:7-port:9),,"HQ-7000-02-PCI.dtc_phx.com, HQ-7000-02-ADMIN, HQ-7000-02-EDGE.dtc_phx.com"
,,SFP,QSFP-40G-SR-BD,AVM1830U70T,Transceiver(slot:7-port:10),,"HQ-7000-02-PCI.dtc_phx.com, HQ-7000-02-ADMIN, HQ-7000-02-EDGE.dtc_phx.com"
,,SFP,QSFP-40G-SR-BD,AVM1827S4J7,Transceiver(slot:7-port:11),,"HQ-7000-02-PCI.dtc_phx.com, HQ-7000-02-ADMIN, HQ-7000-02-EDGE.dtc_phx.com"
,,SFP,QSFP-40G-SR-BD,AVM1830U782,Transceiver(slot:7-port:12),,"HQ-7000-02-PCI.dtc_phx.com, HQ-7000-02-ADMIN, HQ-7000-02-EDGE.dtc_phx.com"
,,SFP,QSFP-40G-SR-BD,AVM1821S0EG,Transceiver(slot:8-port:1),,"HQ-7000-02-PCI.dtc_phx.com, HQ-7000-02-ADMIN, HQ-7000-02-EDGE.dtc_phx.com"
,,SFP,QSFP-40G-SR-BD,AVM1821S24W,Transceiver(slot:8-port:2),,"HQ-7000-02-PCI.dtc_phx.com, HQ-7000-02-ADMIN, HQ-7000-02-EDGE.dtc_phx.com"
,,SFP,QSFP-40G-SR-BD,AVM1821S0EC,Transceiver(slot:8-port:3),,"HQ-7000-02-PCI.dtc_phx.com, HQ-7000-02-ADMIN, HQ-7000-02-EDGE.dtc_phx.com"
,,SFP,QSFP-40G-SR-BD,AVM1821S24V,Transceiver(slot:8-port:5),,"HQ-7000-02-PCI.dtc_phx.com, HQ-7000-02-ADMIN, HQ-7000-02-EDGE.dtc_phx.com"
,,SFP,QSFP-40G-SR-BD,AVM1821S24N,Transceiver(slot:8-port:7),,"HQ-7000-02-PCI.dtc_phx.com, HQ-7000-02-ADMIN, HQ-7000-02-EDGE.dtc_phx.com"
,,SFP,QSFP-40G-SR-BD,AVM1827S4JB,Transceiver(slot:8-port:9),,"HQ-7000-02-PCI.dtc_phx.com, HQ-7000-02-ADMIN, HQ-7000-02-EDGE.dtc_phx.com"
,,SFP,QSFP-40G-SR-BD,AVM1830U71C,Transceiver(slot:8-port:10),,"HQ-7000-02-PCI.dtc_phx.com, HQ-7000-02-ADMIN, HQ-7000-02-EDGE.dtc_phx.com"
,,SFP,QSFP-40G-SR-BD,AVM1827S4J8,Transceiver(slot:8-port:11),,"HQ-7000-02-PCI.dtc_phx.com, HQ-7000-02-ADMIN, HQ-7000-02-EDGE.dtc_phx.com"
,,SFP,QSFP-40G-SR-BD,AVM1830U0Z7,Transceiver(slot:8-port:12),,"HQ-7000-02-PCI.dtc_phx.com, HQ-7000-02-ADMIN, HQ-7000-02-EDGE.dtc_phx.com"
,,SFP,SFP-10G-SR,ECL1412005N,Transceiver(slot:9-port:1),,"HQ-7000-02-PCI.dtc_phx.com, HQ-7000-02-ADMIN, HQ-7000-02-EDGE.dtc_phx.com"
,,SFP,SFP-10G-SR,ECL133102M1,Transceiver(slot:9-port:5),,"HQ-7000-02-PCI.dtc_phx.com, HQ-7000-02-ADMIN, HQ-7000-02-EDGE.dtc_phx.com"
,,SFP,SFP-10G-SR,ECL133100PG,Transceiver(slot:9-port:6),,"HQ-7000-02-PCI.dtc_phx.com, HQ-7000-02-ADMIN, HQ-7000-02-EDGE.dtc_phx.com"
,,SFP,SFP-10G-SR,ECL133102PF,Transceiver(slot:9-port:9),,"HQ-7000-02-PCI.dtc_phx.com, HQ-7000-02-ADMIN, HQ-7000-02-EDGE.dtc_phx.com"
,,SFP,SFP-10G-SR,ECL1412010Y,Transceiver(slot:9-port:10),,"HQ-7000-02-PCI.dtc_phx.com, HQ-7000-02-ADMIN, HQ-7000-02-EDGE.dtc_phx.com"
,,SFP,GLC-SX-MMD,OPM21310Q83,Transceiver(slot:9-port:14),,"HQ-7000-02-PCI.dtc_phx.com, HQ-7000-02-ADMIN, HQ-7000-02-EDGE.dtc_phx.com"
,,SFP,SFP-10G-SR,ACP271604S4,Transceiver(slot:9-port:15),,"HQ-7000-02-PCI.dtc_phx.com, HQ-7000-02-ADMIN, HQ-7000-02-EDGE.dtc_phx.com"
,,SFP,SFP-10G-SR,ACP28020BTX,Transceiver(slot:9-port:16),,"HQ-7000-02-PCI.dtc_phx.com, HQ-7000-02-ADMIN, HQ-7000-02-EDGE.dtc_phx.com"
,,SFP,SFP-10G-LR,ECL1523017U,Transceiver(slot:9-port:20),,"HQ-7000-02-PCI.dtc_phx.com, HQ-7000-02-ADMIN, HQ-7000-02-EDGE.dtc_phx.com"
,,SFP,SFP-10G-SR,FNS17251GEB,Transceiver(slot:9-port:25),,"HQ-7000-02-PCI.dtc_phx.com, HQ-7000-02-ADMIN, HQ-7000-02-EDGE.dtc_phx.com"
,,SFP,SFP-10G-SR,FNS17251XC1,Transceiver(slot:9-port:26),,"HQ-7000-02-PCI.dtc_phx.com, HQ-7000-02-ADMIN, HQ-7000-02-EDGE.dtc_phx.com"
,,SFP,SFP-10G-SR,JUR2020G1LG,Transceiver(slot:9-port:27),,"HQ-7000-02-PCI.dtc_phx.com, HQ-7000-02-ADMIN, HQ-7000-02-EDGE.dtc_phx.com"
