site,hostname,ip_address,position,model,serial_number,port_location,vendor,notes
AZ-Scottsdale-HQ-Corp,,,Module,WS-X4648-RJ45V+E,JAE193901EB,Linecard(slot 9),,
AZ-Scottsdale-HQ-Corp,,,Module,WS-X4748-RJ45V+E,CAT1944L1KU,Linecard(slot 10),,
AZ-Scottsdale-HQ-Corp,,,SFP,WS-X45-SUP8-E,CAT2012L3UB,Supervisor(slot 5),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-10G-SR,FNS20230TWN,TenGigabitEthernet5/1,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-10G-SR,FNS20230BHT,TenGigabitEthernet5/2,,
AZ-Scottsdale-HQ-Corp,,,SFP,WS-X45-SUP8-E,CAT1944L2Z4,Supervisor(slot 6),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-10G-SR,FNS2023060F,TenGigabitEthernet6/1,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-10G-SR,FNS20230BJ8,TenGigabitEthernet6/2,,
AZ-Scottsdale-HQ-Corp,IDF1B-4510-SW2.trtc.com,10.0.255.124,Standalone,WS-C4510R+E,FXS2002Q1HM,,,
AZ-Scottsdale-HQ-Corp,,,Module,WS-X4748-RJ45V+E,CAT1950L6QP,Linecard(slot 1),,
AZ-Scottsdale-HQ-Corp,,,Module,WS-X4748-RJ45V+E,CAT1950L6VV,Linecard(slot 2),,
AZ-Scottsdale-HQ-Corp,,,Module,WS-X4748-RJ45V+E,CAT1944L66H,Linecard(slot 3),,
AZ-Scottsdale-HQ-Corp,,,Module,WS-X4648-RJ45V+E,JAE193901FH,Linecard(slot 4),,
AZ-Scottsdale-HQ-Corp,,,SFP,WS-X45-SUP8-E,CAT1944L358,Supervisor(slot 5),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-10G-SR,AVD2123AN22,TenGigabitEthernet5/1,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-10G-SR,AVD2123AN1R,TenGigabitEthernet5/2,,
AZ-Scottsdale-HQ-Corp,,,SFP,WS-X45-SUP8-E,CAT2023L1L8,Supervisor(slot 6),,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-10G-SR,AVD2123AG2A,TenGigabitEthernet6/1,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP-10G-SR,FNS21250ERR,TenGigabitEthernet6/2,,
