id,network_name,device_tags,wan1_provider,wan1_speed,wan1_circuit_role,wan1_confirmed,wan2_provider,wan2_speed,wan2_circuit_role,wan2_confirmed,last_updated,created_at,pushed_to_meraki,pushed_date,wan1_ip,wan2_ip,wan1_arin_org,wan2_arin_org
27656,AL-HUB,['Hub'],,,Primary,False,,,Secondary,False,2025-07-07 11:46:47.102071,2025-07-07 11:46:47.102071,False,,,,,
25143,CAL 02,,Spectrum,600.0M x 35.0M,Primary,True,Frontier MetroFiber,100.0M x 100.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25110,AZP 47,,Cox Business/BOI,300.0M x 50.0M,Primary,True,CenturyLink,10.0M x 1.0M,Secondary,True,2025-07-10 19:26:22.941547,2025-07-07 09:50:02.793660,True,2025-07-10 19:26:22.941547,,,,
27696,AZPB 20,['Lab'],Connected to Desert Ridge MX250,,Primary,False,Digi,Cell,Secondary,False,2025-07-07 11:46:47.102071,2025-07-07 11:46:47.102071,False,,,,,
27711,AZSB 01,['Lab'],,,Primary,False,,,Secondary,False,2025-07-07 11:46:47.102071,2025-07-07 11:46:47.102071,False,,,,,
25184,CAN_00,,Comcast,,Primary,True,AT&T,,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25531,INI_00,,DSR Cincinnati Bell ADSL,400.0M x 200.0M,Primary,True,Charter Communications,,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25553,KSK_00,,Charter Communications,,Primary,True,AT&T,,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25749,NMA_00,,Comcast,,Primary,True,CenturyLink,,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25167,CAL 29,,Frontier,500.0M x 500.0M,Primary,True,VZW Cell,Cell,Secondary,True,2025-07-10 09:14:17.207359,2025-07-07 09:50:02.793660,True,2025-07-10 09:14:17.207359,,,,
25045,ALS 02,,C Spire,1000.0M x 1000.0M,Primary,True,Brightspeed,300.0M x 300.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25048,ARL 03,,Conway Corporation,500.0M x 50.0M,Primary,True,AT&T Broadband II,300.0M x 300.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25074,AZP 08,,Cox Business/BOI,300.0M x 30.0M,Primary,True,VZW Cell,Cell,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25079,AZP 14,,Cox Business/BOI,300.0M x 30.0M,Primary,True,VZW Cell,Cell,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25087,AZP 23,,Cox Business/BOI,300.0M x 30.0M,Primary,True,Digi,Cell,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25095,AZP 31,,Cox Business/BOI,300.0M x 30.0M,Primary,True,VZW Cell,Cell,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25099,AZP 35,,Cox Business/BOI,300.0M x 30.0M,Primary,True,Verizon Business,Cell,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25101,AZP 37,,Cox Business/BOI,300.0M x 30.0M,Primary,True,CenturyLink/Qwest ,60.0M x 5.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25106,AZP 43,,Cox Business/BOI,300.0M x 30.0M,Primary,True,CenturyLink ,80.0M x 10.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25124,AZP 62,,Cox Business/BOI ,300.0M x 30.0M,Primary,False,Digi,Cell,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25129,AZT 02,,Cox Business/BOI,300.0M x 30.0M,Primary,True,EB2-Centurylink DSL,100.0M x 10.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25134,AZT 10,,Cox Business/BOI,300.0M x 30.0M,Primary,False,VZW Cell,Cell,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25136,AZT 12,,Cox Business/BOI,300.0M x 30.0M,Primary,True,Lumen Qwest,100.0M x 10.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25924,TNN_00,,AT&T,,Primary,True,Comcast,,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
26081,TXH_00,,AT&T,,Primary,True,Comcast,,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25145,CAL 04,,AT&T Broadband II,600.0M x 35.0M,Primary,True,Spectrum,1000.0M x 1000.0M,Secondary,True,2025-07-07 11:46:54.544083,2025-07-07 09:50:02.793660,False,,,,,
25477,ILC 01,,AT&T Broadband II,1000.0M x 1000.0M,Primary,True,Comcast,300.0M x 35.0M,Secondary,True,2025-07-09 15:05:44.746984,2025-07-07 09:50:02.793660,True,2025-07-09 15:05:44.746984,,,,
25219,CAN 40,,VZW Cell,Cell,Primary,True,Starlink,Satellite,Secondary,True,2025-07-07 11:46:47.102071,2025-07-07 09:50:02.793660,False,,,,,
25480,ILC 04,,AT&T Broadband II,1000.0M x 1000.0M,Primary,True,Digi,Cell,Secondary,True,2025-07-09 15:08:25.816794,2025-07-07 09:50:02.793660,True,2025-07-09 15:08:25.816794,,,,
25247,CAS 02,,AT&T,Cell,Primary,True,VZW Cell,Cell,Secondary,True,2025-07-10 13:30:37.325094,2025-07-07 09:50:02.793660,True,2025-07-10 13:30:37.325094,,,,
25043,ALN 02,,AT&T Broadband II,300.0M x 300.0M,Primary,True,Comcast Workplace,250.0M x 25.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25044,ALS 01,,Spectrum,600.0M x 35.0M,Primary,True,Comcast Workplace,300.0M x 30.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25050,ARL 05,,AT&T Broadband II,1000.0M x 200.0M,Primary,True,Ritter Communications,250.0M x 250.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25054,ARO 03,,AT&T Broadband II,500.0M x 100.0M,Primary,True,Cox Business/BOI,300.0M x 30.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25055,ARO 04,,Cox Business/BOI,300.0M x 30.0M,Primary,True,AT&T Broadband II,300.0M x 300.0M,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25098,AZP 34,,Cox Business/BOI,300.0M x 30.0M,Primary,True,Starlink,Satellite,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25120,AZP 58,,Cox Business/BOI,300.0M x 30.0M,Primary,True,Digi,Cell,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25121,AZP 59,,Cox Business/BOI,300.0M x 30.0M,Primary,True,VZW Cell,Cell,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25127,AZS 01,,Cox Business/BOI,300.0M x 30.0M,Primary,True,Digi,Cell,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25135,AZT 11,,Comcast Workplace,600.0M x 35.0M,Primary,True,Verizon Business,Cell,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25146,CAL 05,,Spectrum,600.0M x 35.0M,Primary,True,VZW Cell,Cell,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
27798,EQX-OOB-WA-01,['Hub'],,,Primary,False,Unknown,,Secondary,False,2025-07-07 11:46:47.102071,2025-07-07 11:46:47.102071,False,,,,,
25157,CAL 17,,Frontier,,Primary,True,VZW Cell,Cell,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,True,2025-07-09 06:50:17.970666,,,,
25160,CAL 20,,Frontier,,Primary,True,VZW Cell,Cell,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,True,2025-07-09 06:50:41.633674,,,,
26165,TXHT00,,Comcast,,Primary,True,Unknown,,Secondary,True,2025-07-10 14:22:08.521283,2025-07-07 09:50:02.793660,False,,,,,
25100,AZP 36,,Wyyerd Fiber,2000.0M x 2000.0M,Primary,True,Starlink,Satellite,Secondary,True,2025-07-07 11:46:54.544083,2025-07-07 09:50:02.793660,False,,,,,
25122,AZP 60,,Mediacom Communications Corporation,1000.0M x 30.0M,Primary,True,VZW Cell,Cell,Secondary,True,2025-07-07 11:46:54.544083,2025-07-07 09:50:02.793660,False,,,,,
25051,ARL 06,,Brightspeed,300.0M x 30.0M,Primary,True,Altice West,100.0M x 100.0M,Secondary,True,2025-07-07 11:46:54.544083,2025-07-07 09:50:02.793660,False,,,,,
25052,ARO 01,,AT&T Broadband II,300.0M x 30.0M,Primary,True,Cox Business/BOI,300.0M x 300.0M,Secondary,True,2025-07-07 11:46:54.544083,2025-07-07 09:50:02.793660,False,,,,,
25065,AZN 03,,Sparklight,300.0M x 30.0M,Primary,True,Digi,Cell,Secondary,True,2025-07-08 13:30:52.546181,2025-07-07 09:50:02.793660,True,2025-07-08 13:30:52.546181,,,,
25501,ILC 29,,AT&T Broadband II,1000.0M x 1000.0M,Primary,True,Comcast,300.0M x 35.0M,Secondary,True,2025-07-09 15:36:59.708172,2025-07-07 09:50:02.793660,True,2025-07-09 15:36:59.708172,,,,
