hostname,ip_address,device_family,module_model
EQX-MPLS-8300-01,10.44.158.61,Cisco Other,NIM-1MFT-T1/E1
EQX-MPLS-8300-01,10.44.158.61,Cisco Other,C8300-2N2S-4T2X
EQX-MPLS-8300-01,10.44.158.61,Cisco Other,C-NIM-1X
EQX-MPLS-8300-02,10.44.158.62,Cisco Other,NIM-1MFT-T1/E1
EQX-MPLS-8300-02,10.44.158.62,Cisco Other,C-NIM-1X
EQX-MPLS-8300-02,10.44.158.62,Cisco Other,C8300-2N2S-4T2X
HQ-56128P-01,10.0.255.111,Cisco Other,N5K-C56128P
HQ-56128P-01,10.0.255.111,Cisco Other,"Fabric Extender Module: 48x1GE, 4x10GE-N2K-C2248TP-1GE"
HQ-56128P-01,10.0.255.111,Cisco Other,"Fabric Extender Module: 32x10GE, 8x10GE-N2K-C2232PP-10GE"
HQ-56128P-01,10.0.255.111,Cisco Other,N56-M24UP2Q
HQ-56128P-01,10.0.255.111,Cisco Other,"Fabric Extender Module: 16x10GE, 8x10GE-N2K-B22DELL-P"
HQ-56128P-02,10.0.255.112,Cisco Other,"Fabric Extender Module: 32x10GE, 8x10GE-N2K-C2232PP-10GE"
HQ-56128P-02,10.0.255.112,Cisco Other,"Fabric Extender Module: 16x10GE, 8x10GE-N2K-B22DELL-P"
HQ-56128P-02,10.0.255.112,Cisco Other,N56-M24UP2Q
HQ-56128P-02,10.0.255.112,Cisco Other,N5K-C56128P
HQ-56128P-02,10.0.255.112,Cisco Other,"Fabric Extender Module: 48x1GE, 4x10GE-N2K-C2248TP-1GE"
HQ-7000-01-ADMIN,10.0.145.123,Cisco Other,N7K-F312FQ-25
HQ-7000-01-ADMIN,10.0.145.123,Cisco Other,N7K-SUP2E
HQ-7000-01-ADMIN,10.0.145.123,Cisco Other,N7K-F248XP-25E
HQ-7000-01-ADMIN,10.0.145.123,Cisco Other,GLC-SX-MMD          
HQ-7000-01-ADMIN,10.0.145.123,Cisco Other,N7K-C7010-FAB-2
HQ-7000-01-CORE.dtc_phx.com,10.0.100.194,Cisco Other,N7K-F312FQ-25
HQ-7000-01-CORE.dtc_phx.com,10.0.100.194,Cisco Other,GLC-SX-MMD          
HQ-7000-01-CORE.dtc_phx.com,10.0.255.239,Cisco Other,N7K-SUP2E
HQ-7000-01-CORE.dtc_phx.com,10.0.255.239,Cisco Other,N7K-C7010-FAB-2
HQ-7000-01-CORE.dtc_phx.com,10.0.100.194,Cisco Other,N7K-C7010-FAB-2
