Site Name,Network Name (Enriched),Enriched WAN1 Provider,Enriched WAN1 Speed,Enriched WAN1 Role,Enriched WAN2 Provider,Enriched WAN2 Speed,Enriched WAN2 Role,Meraki WAN1 IP,Meraki WAN2 IP,Meraki WAN1 ARIN Provider,Meraki WAN2 ARIN Provider,Meraki Notes,DSR Primary Provider,DSR Primary Speed,DSR Primary IP,DSR Secondary Provider,DSR Secondary Speed,DSR Secondary IP
TXG 02,TXG 02,Consolidated Communications,300.0 M,Primary,VZW Cell,Cell,Secondary,156.47.166.66,166.163.165.238,"Consolidated Communications, Inc.",Verizon Business,"WAN 1
Consolidated Communications
300.0M x 300.0M
WAN 2
VZW Cell
Cell",,,,Consolidated Communications,300.0M x 300.0M,156.47.166.66
TXG 03,TXG 03,Comcast Workplace,750.0 M,Primary,Starlink,600.0M x 35.0M,Secondary,96.76.181.37,98.97.190.107,Unknown,Unknown,"WAN 1
Comcast Workplace
750.0M x 35.0M
WAN 2
Starlink
Satellite",,,,Comcast Workplace,750.0M x 35.0M,96.76.181.37
TXH 04,TXH 04,AT&T Broadband II,1000.0 M,Primary,Comcast,1000.0M x 1000.0M,Secondary,99.125.136.1,96.79.187.121,Unknown,Unknown,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast",,,,AT&T Broadband II,1000.0M x 1000.0M,99.125.136.1
TXH 05,TXH 05,AT&T Broadband II,300.0 M,Primary,Comcast,300.0M x 300.0M,Secondary,99.110.95.201,96.73.96.237,AT&T,Comcast,"WAN 1
AT&T Broadband II
300.0M x 300.0M
WAN 2
Comcast
300.0M x 35.0M",,,,AT&T Broadband II,300.0M x 300.0M,99.110.95.201
TXH 17,TXH 17,Comcast,300.0 M,Primary,AT&T Broadband II,300.0M x 300.0M,Secondary,96.79.164.129,99.76.17.49,Unknown,Unknown,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M",,,,AT&T Broadband II,300.0M x 300.0M,99.76.17.49
TXH 24,TXH 24,Comcast,300.0 M,Primary,AT&T Broadband II,300.0M x 300.0M,Secondary,96.76.185.213,99.111.248.9,Comcast,AT&T,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M",,,,AT&T Broadband II,300.0M x 300.0M,99.111.248.9
TXH 25,TXH 25,Comcast,300.0 M,Primary,VZW Cell,Cell,Secondary,50.209.123.141,166.168.231.150,Unknown,Verizon Business,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
VZW Cell
Cell",,,,,,
TXH 28,TXH 28,Comcast,300.0 M,Primary,Unknown,,Secondary,96.77.135.141,107.80.182.164,Comcast,"AT&T Enterprises, LLC","WAN 1
Comcast
300.0M x 35.0M
WAN 2
Unknown",,,,,,
TXH 34,TXH 34,AT&T Broadband II,1000.0 M,Primary,Starlink,1000.0M x 1000.0M,Secondary,23.126.108.177,143.105.61.89,Unknown,Unknown,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Starlink
Satellite",,,,AT&T Broadband II,1000.0M x 1000.0M,23.126.108.177
TXH 41,TXH 41,AT&T Broadband II,1000.0 M,Primary,Comcast,1000.0M x 1000.0M,Secondary,162.236.70.129,96.73.99.97,Unknown,Unknown,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M",,,,AT&T Broadband II,1000.0M x 1000.0M,162.236.70.129
TXH 44,TXH 44,Comcast,300.0 M,Primary,Verizon Business,Cell,Secondary,50.194.161.17,166.168.184.33,Comcast,Unknown,"WAN 1
Comcast
300.0M x 30.0M
WAN 2
Verizon Business",,,,,,
TXH 52,TXH 52,AT&T Broadband II,1000.0 M,Primary,Comcast,1000.0M x 1000.0M,Secondary,68.74.126.121,50.210.208.249,AT&T,Comcast,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M",,,,AT&T Broadband II,1000.0M x 1000.0M,68.74.126.121
TXH 55,TXH 55,AT&T Broadband II,1000.0 M,Primary,"Comcast Cable Communications, LLC",1000.0M x 1000.0M,Secondary,108.223.37.121,96.73.120.17,AT&T,Comcast,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast Cable Communications, LLC",,,,AT&T Broadband II,1000.0M x 1000.0M,108.223.37.121
TXH 56,TXH 56,AT&T Broadband II,1000.0 M,Primary,Comcast,1000.0M x 1000.0M,Secondary,172.10.171.81,96.77.159.245,Unknown,Comcast,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M",,,,AT&T Broadband II,1000.0M x 1000.0M,172.10.171.81
TXH 64,TXH 64,Comcast,300.0 M,Primary,Unknown,,Secondary,96.73.126.69,107.127.155.244,Comcast,"AT&T Enterprises, LLC","WAN 1
Comcast
300.0M x 35.0M
WAN 2
Unknown",,,,,,
TXH 65,TXH 65,AT&T Broadband II,1000.0 M,Primary,Comcast,1000.0M x 1000.0M,Secondary,108.210.135.209,50.249.68.153,AT&T,Comcast,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M",,,,AT&T Broadband II,1000.0M x 1000.0M,108.210.135.209
TXH 70,TXH 70,Comcast,300.0 M,Primary,Digi,Cell,Secondary,96.91.38.197,107.80.163.194,Unknown,"AT&T Enterprises, LLC","WAN 1
Comcast
300.0M x 35.0M
WAN 2
Digi
Cell",,,,,,
TXH 82,TXH 82,Comcast,300.0 M,Primary,AT&T Broadband II,300.0M x 300.0M,Secondary,96.77.139.49,75.51.12.57,Comcast,AT&T,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M",,,,AT&T Broadband II,300.0M x 300.0M,75.51.12.57
TXH 86,TXH 86,Comcast,300.0 M,Primary,Verizon Business,Cell,Secondary,96.73.122.161,166.180.159.109,Comcast,Verizon Business,"WAN 1
Comcast
300.0M x 25.0M
WAN 2
Verizon Business",,,,,,
