Site Name,Interface,Status,DSR Provider,ARIN Provider,Match,Action Taken
AZT 10,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZT 11,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
AZT 12,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZT 13,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZT 14,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
AZY 01,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
CAL 01,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
CAL 02,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
CAL 05,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
CAL 06,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
CAL 07,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
CAL 08,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
CAL 09,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
CAL 10,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
CAL 11,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
CAL 12,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
CAL 15,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
CAL 17,WAN1,MATCH,Frontier,Frontier Communications,Yes,Updated
CAL 18,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
CAL 19,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
CAL 20,WAN1,MATCH,Frontier,Frontier Communications,Yes,Updated
CAL 21,WAN1,MATCH,AT&T Broadband,AT&T,Yes,Updated
CAL 22,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
CAL 24,WAN1,MATCH,Frontier,Frontier Communications,Yes,Updated
CAL 24,WAN1,MATCH,Frontier Fios,Frontier Communications,Yes,Updated
CAL 26,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
CAL 28,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
CAL 31,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
CAL 33,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
CAL 37,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
CAL 38,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
CAL 40,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
CAL 42,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
CAL 48,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
CAL 49,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
CAN_00,WAN1,MATCH,Comcast,Comcast,Yes,Updated
CAN 02,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
CAN 04,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
CAN 05,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
CAN 07,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
CAN 10,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
CAN 11,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
CAN 12,WAN1,MATCH,Etheric Networks,"Etheric Networks, Inc.",Yes,Updated
CAN 13,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
CAN 15,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
CAN 16,WAN1,MATCH,Frontier,Frontier Communications,Yes,Updated
CAN 17,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
CAN 18,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
CAN 19,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
CAN 20,WAN1,MATCH,Consolidated Communications,"Consolidated Communications,",Yes,Updated
CAN 21,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
CAN 26,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
CAN 29,WAN1,MATCH,AT&T Broadband II,"AT&T Enterprises, LLC",Yes,Updated
CAN 30,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
CAN 32,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
CAN 33,WAN1,MATCH,Comcast Workplace,"Comcast Cable Communications, Inc",Yes,Updated
