Site Name,Interface,Status,DSR Provider,ARIN Provider,Match,Action Taken
MID 11,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
MID 12,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
MID 22,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
MID 23,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
MID 26,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
MID 27,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
MIF 05,WAN1,MATCH,Comcast,Comcast,Yes,Updated
MIF 25,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
MIG 09,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
MIG 23,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
MIG 24,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
MIG 29,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
MIG 30,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
MIH 27,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
MIK 06,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
MIK 14,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
MIK 30,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
MIK 31,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
MIL 00,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
MIL 11,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
MIL 28,WAN1,MATCH,Comcast Direct,"Comcast Cable Communications, Inc.",Yes,Updated
MIM 01,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
MIN 01,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
MIS 12,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
MIS 17,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
MIS 20,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
MNM 01,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
MNM 02,WAN1,MATCH,Comcast,Comcast,Yes,Updated
MNM 03,WAN1,MATCH,Comcast,Comcast,Yes,Updated
MNM 06,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
MNM 07,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
MNM 08,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
MNM 09,WAN1,MATCH,DSR Comcast,"Comcast IP Services, L.L.C.",Yes,Updated
MNM 10,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
MNM 11,WAN1,MATCH,Comcast,Comcast,Yes,Updated
MNM 13,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
MNM 14,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
MNM 15,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
MNM 17,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
MNM 18,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
MNM 21,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
MNM 22,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
MNM 23,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
MNM 24,WAN1,MATCH,Comcast,Comcast,Yes,Updated
MNM 26,WAN1,MATCH,Comcast Workplace,Comcast Cable Communications,Yes,Updated
MNM 27,WAN1,MATCH,CenturyLink Fiber Plus,CenturyLink,Yes,Updated
MNM 29,WAN1,MATCH,Comcast,Comcast,Yes,Updated
MNM 31,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
MOK 02,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
MOK 03,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
MOK 05,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
MOK 06,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
MOO 04,WAN1,MATCH,Brightspeed,Level 3,Yes,Updated
MOR 01,WAN1,MATCH,Fidelity Communications,"Fidelity Cablevision, LLC",Yes,Updated
MOS 02,WAN1,MATCH,AT&T,AT&T,Yes,Updated
MOS 02,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
MOS 03,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
MOS 04,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
MOS 05,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
MOS 07,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
MOS 08,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
MOS 09,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
MOS 10,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
MSN 01,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
MSN 02,WAN1,MATCH,C Spire,C Spire Fiber,Yes,Updated
MTB 01,WAN1,MATCH,Spectrum ,Charter Communications,Yes,Updated
MTM 01,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
MTM 02,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
NCC_00,WAN1,MATCH,Charter Communications,Charter Communications,Yes,Updated
NCC 01,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
NCC 02,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
NCC 04,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
NCC 05,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
NCC 06,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
NCC 07,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
NCC 08,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
NCC 09,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
NCC 10,WAN1,MATCH,Spectrum,"SPECTRUM CONSULTANTS, INC",Yes,Updated
NCC 13,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
NCC 14,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
NCC 16,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
NCC 17,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
NCC 18,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
NCC 19,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
NCC 21,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
NCC 23,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
NCC 24,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
NCC 25,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
NCC 26,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
NCC 27,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
NCC 33,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
NCC 36,WAN1,MATCH,Spectrum,Charter Communications Inc,Yes,Updated
NCC 37,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
NCC 39,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
NCC 40,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
NCC 41,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
NCC 42,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
NCC 44,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
NCC 45,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
NCC 47,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
NCC 52,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
NCN 01,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
NDG 01,WAN1,MATCH,Midcontinent,Midcontinent Communications,Yes,Updated
NEO 05,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
NEO 06,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
NMA_00,WAN1,MATCH,Comcast,Comcast,Yes,Updated
NMA 02,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
NMA 03,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
NMA 04,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
NMA 06,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
NMA 07,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
NMA 08,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
NMA 10,WAN1,MATCH,Comcast,Comcast,Yes,Updated
NMA 12,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
NMAW00,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
NMF 01,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
NMH 01,WAN1,MATCH,Windstream,Windstream Communications LLC,Yes,Updated
NML 01,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
NMS 02,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
NVL 03,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
NVL 04,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
NVL 05,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
NVL 06,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
NVL 08,WAN1,MATCH,CenturyLink Fiber Plus,CenturyLink,Yes,Updated
NVL 09,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
NVL 11,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
NVL 13,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
NVL 14,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
NVL 17,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
NVL 22,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
NVL 23,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
NVL 24,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
NVL 26,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
NVR 01,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
NVR 02,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
NVR 04,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
OHC 03,WAN1,MATCH,Spectrum,Charter Communications Inc,Yes,Updated
OHC 04,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
OHC 05,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
OHC 07,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
OHC 10,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
OHD 02,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
OHD 03,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
OHD 04,WAN1,MATCH,Spectrum,Charter Communications Inc,Yes,Updated
OHL 01,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
OHN 01,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
OHN 02,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
OHN 03,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
OHN 05,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
OHS 01,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
OHS 03,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
OHS 04,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
OHS 05,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
OHT 01,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
OHT 02,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
OKE 01,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
OKO 02,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
OKO 03,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
OKO 05,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
OKO 07,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
OKO 08,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
OKO 09,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
OKO 10,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
OKO 11,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
OKO 15,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
OKT 01,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
OKT 05,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
OKT 06,WAN1,MATCH,Cox Business/BOI ,Cox Communications,Yes,Updated
OKT 07,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
OKT 08,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
ORM 01,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
ORM 02,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
ORP 01,WAN1,MATCH,Comcast,Comcast,Yes,Updated
ORP 02,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
ORP 04,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
ORP 05,WAN1,MATCH,Comcast,Comcast,Yes,Updated
ORP 07,WAN1,MATCH,Ziply Fiber,Ziply Fiber,Yes,Updated
ORP 09,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
ORP 11,WAN1,MATCH,Comcast Workplace,"Comcast Cable Communications, Inc.",Yes,Updated
ORP 12,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
PAN 01,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
PAP 02,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
PAW 01,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
PAW 02,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
SCC 01,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
SCC 04,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
SCC 05,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
SCC 06,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
SCC 07,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
SCC 08,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
SCC 09,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
SCC 10,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
SCC 11,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
SCC 12,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
SCC 13,WAN1,MATCH,Hargray Telephone Co.,"Hargray Communications Group, Inc.",Yes,Updated
SCC 14,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
SCC 16,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
SCC 18,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
SCC 19,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
SDR 01,WAN1,MATCH,Midcontinent,Midcontinent Communications,Yes,Updated
SDS 01,WAN1,MATCH,Midcontinent,Midcontinent Communications,Yes,Updated
TNC 01,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TNC 02,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TNC 03,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TNE 02,WAN1,MATCH,Spectrum ,Charter Communications,Yes,Updated
TNK 01,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TNK 02,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TNK 03,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TNM 02,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TNM 03,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TNM 05,WAN1,MATCH,Spectrum ,Charter Communications,Yes,Updated
TNN_00,WAN1,MATCH,AT&T,AT&T,Yes,Updated
TNN 03,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TNN 04,WAN1,MATCH,Comcast Workplace,"Comcast Cable Communications, LLC",Yes,Updated
TNN 05,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TNN 07,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TNN 09,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TNN 10,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TNN 12,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TNN 13,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
TNN 16,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TXA 01,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXA 02,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXA 03,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXA 04,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXA 05,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXA 06,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXA 07,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXA 08,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXA 10,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXA 11,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXA 12,WAN1,MATCH,Frontier,Frontier Communications,Yes,Updated
TXA 14,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXA 15,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXA 16,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXA 17,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXA 18,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXA 19,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXA 20,WAN1,MATCH,Spectrum,Charter Communications Inc,Yes,Updated
TXA 22,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXA 23,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXC 01,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXC 03,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXC 04,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXC 05,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXC 08,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXC 09,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXC 10,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXC 12,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
TXC 13,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXC 14,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXC 17,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXC 20,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 01,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 02,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 04,WAN1,MATCH,Spectrum,Charter Communications Inc,Yes,Updated
TXD 05,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 06,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 08,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 09,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 10,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 12,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 13,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 15,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 17,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 18,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 19,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 20,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 23,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 25,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 29,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 30,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 31,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 32,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 33,WAN1,MATCH,Spectrum,Charter Communications Inc,Yes,Updated
TXD 34,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 35,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 36,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 37,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 39,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 41,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 43,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 46,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
TXD 47,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
TXD 48,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 52,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 54,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 55,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 56,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 57,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 59,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 60,WAN1,MATCH,Spectrum Business,Charter Communications,Yes,Updated
TXD 61,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 62,WAN1,MATCH,Cable One,"CABLE ONE, INC.",Yes,Updated
TXD 64,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 65,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
TXD 66,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 68,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 69,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 70,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 72,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
TXD 73,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 74,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 75,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 77,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 78,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 80,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
TXD 82,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
TXD 83,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 84,WAN1,MATCH,VyVe,Vyve Broadband,Yes,Updated
TXD 85,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 86,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 87,WAN1,MATCH,Frontier FIOS,Frontier Communications,Yes,Updated
TXD 89,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
TXD 90,WAN1,MATCH,East Texas Broadband,East Texas Broadband,Yes,Updated
TXD 91,WAN1,MATCH,Frontier FIOS,Frontier Communications,Yes,Updated
TXD 92,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
TXD 95,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXD 96,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
TXE 01,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXE 02,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXE 03,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXE 05,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXE 06,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXE 07,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXG 01,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
TXH_00,WAN1,MATCH,AT&T,AT&T,Yes,Updated
TXH 01,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
TXH 02,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TXH 03,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TXH 12,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TXH 15,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TXH 16,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TXH 18,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TXH 21,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TXH 25,WAN1,MATCH,Comcast,Comcast,Yes,Updated
TXH 26,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXH 27,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TXH 28,WAN1,MATCH,Comcast,Comcast,Yes,Updated
TXH 29,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TXH 30,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TXH 31,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TXH 37,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TXH 44,WAN1,MATCH,Comcast,Comcast,Yes,Updated
TXH 46,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TXH 49,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TXH 50,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
TXH 51,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TXH 54,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TXH 57,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TXH 59,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
TXH 63,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TXH 64,WAN1,MATCH,Comcast,Comcast,Yes,Updated
TXH 67,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TXH 68,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TXH 70,WAN1,MATCH,Comcast,Comcast,Yes,Updated
TXH 71,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
TXH 73,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TXH 75,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TXH 78,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TXH 79,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TXH 79,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TXH 83,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TXH 84,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TXH 86,WAN1,MATCH,Comcast,Comcast,Yes,Updated
TXH 90,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
TXH 92,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
