hostname,ip_address,component_type,model,serial_number,description,name,stack_position
Alameda-IDFA-3750-Stack.dtc_phx.com,10.101.255.50,Chassis,WS-C3750-48PS-S,FDO1239X2T5,WS-C3750-48P,1,Member 1
Alameda-IDFA-3750-Stack.dtc_phx.com,10.101.255.50,Chassis,WS-C3750-48PS-S,FDO1239X2Q6,WS-C3750-48P,2,Member 2
Alameda-IDFA-3750-Stack.dtc_phx.com,10.101.255.50,SFP/Transceiver,Unspecified,FNS12410EPW,1000BaseSX SFP,GigabitEthernet1/0/1,
Alameda-IDFA-3750-Stack.dtc_phx.com,10.101.255.50,SFP/Transceiver,Unspecified,AGM142623D0,10/100/1000BaseTX SFP,GigabitEthernet1/0/3,
Alameda-IDFA-3750-Stack.dtc_phx.com,10.101.255.50,SFP/Transceiver,Unspecified,AGM151125MA,10/100/1000BaseTX SFP,GigabitEthernet1/0/4,
Alameda-IDFA-3750-Stack.dtc_phx.com,10.101.255.50,SFP/Transceiver,Unspecified,AGS084401HZ,1000BaseSX SFP,GigabitEthernet1/0/2,
Alameda-IDFA-3750-Stack.dtc_phx.com,10.101.255.50,SFP/Transceiver,GLC-T,00000MTC13390224,10/100/1000BaseTX SFP,GigabitEthernet2/0/3,
Alameda-IDFA-3750-Stack.dtc_phx.com,10.101.255.50,SFP/Transceiver,GLC-T,00000MTC1611071N,10/100/1000BaseTX SFP,GigabitEthernet2/0/4,
Alameda-IDFA-3750-Stack.dtc_phx.com,10.101.255.50,SFP/Transceiver,Unspecified,AGM1248152A,1000BaseSX SFP,GigabitEthernet2/0/1,
Alameda-IDFA-3750-Stack.dtc_phx.com,10.101.255.50,SFP/Transceiver,Unspecified,FNS12410DKJ,1000BaseSX SFP,GigabitEthernet2/0/2,
MDF-3130-J9-ENC3-A.trtc,10.0.255.56,Chassis,WS-CBS3130X-S-F,FOC1518H098,WS-CBS3130X-S-F,1,Member 1
MDF-3130-J9-ENC3-A.trtc,10.0.255.56,Chassis,WS-CBS3130X-S-F,FOC1616H02D,WS-CBS3130X-S-F,2,Member 2
MDF-3130-J9-ENC3-A.trtc,10.0.255.56,Module,800-27645-02,FDO151512MP,TwinGig Converter Module,Switch 1 - Slot 1 - TwinGig Converter Module,
MDF-3130-J9-ENC3-A.trtc,10.0.255.56,Module,800-27645-02,FDO151615AS,TwinGig Converter Module,Switch 1 - Slot 2 - TwinGig Converter Module,
MDF-3130-J9-ENC3-A.trtc,10.0.255.56,Module,800-27645-02,FDO16020CYM,TwinGig Converter Module,Switch 2 - Slot 1 - TwinGig Converter Module,
MDF-3130-J9-ENC3-A.trtc,10.0.255.56,Module,800-27645-02,FDO16020CWS,TwinGig Converter Module,Switch 2 - Slot 2 - TwinGig Converter Module,
MDF-3130-J9-ENC3-B.trtc,10.0.255.57,Chassis,WS-CBS3130X-S-F,FOC1518H047,WS-CBS3130X-S-F,1,Member 1
MDF-3130-J9-ENC3-B.trtc,10.0.255.57,Chassis,WS-CBS3130X-S-F,FOC1616H02L,WS-CBS3130X-S-F,2,Member 2
MDF-3130-J9-ENC3-B.trtc,10.0.255.57,Module,800-27645-02,FDO151615AP,TwinGig Converter Module,Switch 1 - Slot 1 - TwinGig Converter Module,
MDF-3130-J9-ENC3-B.trtc,10.0.255.57,Module,800-27645-02,FDO151614LG,TwinGig Converter Module,Switch 1 - Slot 2 - TwinGig Converter Module,
MDF-3130-J9-ENC3-B.trtc,10.0.255.57,Module,800-27645-02,FDO16020N9T,TwinGig Converter Module,Switch 2 - Slot 1 - TwinGig Converter Module,
MDF-3130-J9-ENC3-B.trtc,10.0.255.57,Module,800-27645-02,FDO16020N8S,TwinGig Converter Module,Switch 2 - Slot 2 - TwinGig Converter Module,
Alameda-IDFB-3750-Stack.dtc_phx.com,10.101.255.60,Chassis,WS-C3750-48PS-S,CAT0847R1TZ,WS-C3750-48P,1,Standalone
Alameda-IDFB-3750-Stack.dtc_phx.com,10.101.255.60,SFP/Transceiver,Unspecified,AGS084401JC,1000BaseSX SFP,GigabitEthernet1/0/1,
Alameda-IDFB-3750-Stack.dtc_phx.com,10.101.255.60,SFP/Transceiver,Unspecified,FNS0846B2E1,1000BaseSX SFP,GigabitEthernet1/0/2,
Alameda-IDFC-3750-Stack.dtc_phx.com,10.101.255.70,Chassis,WS-C3750-48PS-S,FDO1239X2T6,WS-C3750-48P,1,Member 1
Alameda-IDFC-3750-Stack.dtc_phx.com,10.101.255.70,Chassis,WS-C3750-48PS-S,FDO1239X2T0,WS-C3750-48P,2,Member 2
Alameda-IDFC-3750-Stack.dtc_phx.com,10.101.255.70,Chassis,WS-C3750-48PS-S,FDO1239X2PZ,WS-C3750-48P,3,Member 3
Alameda-IDFC-3750-Stack.dtc_phx.com,10.101.255.70,Chassis,WS-C3750-48PS-S,FDO1421X2Z7,WS-C3750-48P,4,Member 4
Alameda-IDFC-3750-Stack.dtc_phx.com,10.101.255.70,SFP/Transceiver,Unspecified,FNS12410ENQ,1000BaseSX SFP,GigabitEthernet1/0/1,
Alameda-IDFC-3750-Stack.dtc_phx.com,10.101.255.70,SFP/Transceiver,Unspecified,FNS111711YV,1000BaseSX SFP,GigabitEthernet1/0/3,
Alameda-IDFC-3750-Stack.dtc_phx.com,10.101.255.70,SFP/Transceiver,Unspecified,AGM12491920,1000BaseSX SFP,GigabitEthernet2/0/1,
Alameda-IDFC-3750-Stack.dtc_phx.com,10.101.255.70,SFP/Transceiver,Unspecified,FNS111711YX,1000BaseSX SFP,GigabitEthernet2/0/3,
Alameda-IDFC-3750-Stack.dtc_phx.com,10.101.255.70,SFP/Transceiver,Unspecified,FNS111711H1,1000BaseSX SFP,GigabitEthernet2/0/4,
Alameda-IDFC-3750-Stack.dtc_phx.com,10.101.255.70,SFP/Transceiver,Unspecified,FNS12420JKG,1000BaseSX SFP,GigabitEthernet3/0/1,
Alameda-IDFD-3750-Stack.dtc_phx.com,10.101.255.80,Chassis,WS-C3750-48PS-S,FDO1239X2TA,WS-C3750-48P,1,Standalone
Alameda-IDFD-3750-Stack.dtc_phx.com,10.101.255.80,SFP/Transceiver,Unspecified,FNS12370NSR,1000BaseSX SFP,GigabitEthernet1/0/1,
Alameda-IDFD-3750-Stack.dtc_phx.com,10.101.255.80,SFP/Transceiver,Unspecified,FNS14141W1R,1000BaseSX SFP,GigabitEthernet1/0/2,
Alameda-IDFE-3750-Stack.dtc_phx.com,10.101.255.90,Chassis,WS-C3750V2-48PS-S,FDO1738Y16S,WS-C3750V2-48PS,1,Member 1
Alameda-IDFE-3750-Stack.dtc_phx.com,10.101.255.90,Chassis,WS-C3750V2-48PS-S,FDO1738Y19V,WS-C3750V2-48PS,2,Member 2
Alameda-IDFE-3750-Stack.dtc_phx.com,10.101.255.90,Chassis,WS-C3750V2-48PS-S,FDO1738Y02E,WS-C3750V2-48PS,3,Member 3
Alameda-IDFE-3750-Stack.dtc_phx.com,10.101.255.90,SFP/Transceiver,Unspecified,FNS12410EP2,1000BaseSX SFP,GigabitEthernet1/0/1,
Alameda-IDFE-3750-Stack.dtc_phx.com,10.101.255.90,SFP/Transceiver,Unspecified,FNS111711YP,1000BaseSX SFP,GigabitEthernet1/0/2,
Alameda-IDFE-3750-Stack.dtc_phx.com,10.101.255.90,SFP/Transceiver,Unspecified,AGM140616AD,1000BaseSX SFP,GigabitEthernet3/0/1,
Alameda-IDFE-3750-Stack.dtc_phx.com,10.101.255.90,SFP/Transceiver,SFP-GE-S,FNS132700J1,1000BaseSX SFP,GigabitEthernet3/0/2,
IDF1A-4510.trtc.com,10.0.255.121,Chassis,WS-C4510R+E,FXS1937Q20A,"Cisco Systems, Inc. WS-C4510R+E 10 slot switch ",Switch System,Standalone
IDF1A-4510.trtc.com,10.0.255.121,Module,WS-X4748-RJ45V+E,CAT1944L6DD,10/100/1000BaseT (RJ45)+V E Series with 48 10/100/1000 baseT Premium PoE ports (Cisco/IEEE),Linecard(slot 1),
IDF1A-4510.trtc.com,10.0.255.121,Module,WS-X4648-RJ45V+E,JAE193901BA,10/100/1000BaseT (RJ45)+V E Series with 48 10/100/1000 baseT Premium PoE ports (Cisco/IEEE),Linecard(slot 2),
IDF1A-4510.trtc.com,10.0.255.121,Module,WS-X4648-RJ45V+E,JAE193903GW,10/100/1000BaseT (RJ45)+V E Series with 48 10/100/1000 baseT Premium PoE ports (Cisco/IEEE),Linecard(slot 3),
IDF1A-4510.trtc.com,10.0.255.121,Module,WS-X4648-RJ45V+E,JAE19390160,10/100/1000BaseT (RJ45)+V E Series with 48 10/100/1000 baseT Premium PoE ports (Cisco/IEEE),Linecard(slot 4),
IDF1A-4510.trtc.com,10.0.255.121,Power Supply,PWR-C45-6000ACV,ART1938F4XH,Power Supply ( AC 6000W ),Power Supply 1,
IDF1A-4510.trtc.com,10.0.255.121,Power Supply,PWR-C45-6000ACV,ART1937F6EE,Power Supply ( AC 6000W ),Power Supply 2,
IDF1A-4510.trtc.com,10.0.255.121,Fan,WS-X4582+E,FXS1937Q2P9,FanTray,FanTray 1,
IDF1A-4510.trtc.com,10.0.255.121,SFP/Transceiver,WS-X45-SUP8-E,CAT1944L38J,"Sup 8-E 10GE (SFP+), 1000BaseX (SFP) with 8 SFP+ Ports",Supervisor(slot 5),
IDF1A-4510.trtc.com,10.0.255.121,SFP/Transceiver,SFP-10G-SR,JUR18410YL8,SFP-10Gbase-SR,TenGigabitEthernet5/1,
IDF1A-4510.trtc.com,10.0.255.121,SFP/Transceiver,SFP-10G-SR,FNS17251XE9,SFP-10Gbase-SR,TenGigabitEthernet5/3,
IDF1A-4510.trtc.com,10.0.255.121,SFP/Transceiver,SFP-10G-SR,JUR184002YT,SFP-10Gbase-SR,TenGigabitEthernet6/1,
IDF1A-4510.trtc.com,10.0.255.121,SFP/Transceiver,SFP-10G-SR,FNS17251XDJ,SFP-10Gbase-SR,TenGigabitEthernet6/3,
IDF1B-4510-SW1.trtc.com,10.0.255.123,Chassis,WS-C4510R+E,FXS1937Q21S,"Cisco Systems, Inc. WS-C4510R+E 10 slot switch ",Switch System,Standalone
IDF1B-4510-SW1.trtc.com,10.0.255.123,Module,WS-X4748-RJ45V+E,CAT1944L0AJ,10/100/1000BaseT (RJ45)+V E Series with 48 10/100/1000 baseT Premium PoE ports (Cisco/IEEE),Linecard(slot 1),
