site_id,site_name,primary_provider,primary_ip,primary_bandwidth
AZT 01,AZT 01,Cox Business/BOI,72.194.173.124,300.0M x 30.0M
AZT 02,AZT 02,Cox Business/BOI,68.98.215.100,300.0M x 30.0M
AZT 03,AZT 03,Cox Business/BOI,184.183.13.237,300.0M x 30.0M
AZT 06,AZT 06,Comcast Workplace,50.208.236.45,600.0M x 35.0M
AZT 07,AZT 07,Cox Business,72.214.214.230,200.0M x 200.0M
AZT 09,AZT 09,Comcast Workplace,75.146.134.225,600.0M x 35.0M
AZT 10,AZT 10,Cox Business/BOI,98.190.145.73,300.0M x 30.0M
AZT 11,AZT 11,Comcast Workplace,50.248.113.137,600.0M x 35.0M
AZT 14,AZT 14,Cox Business/BOI,68.14.243.158,300.0M x 30.0M
AZY 01,AZY 01,Spectrum,74.62.234.182,600.0M x 35.0M
AZY 02,AZY 02,Spectrum,76.79.115.26,600.0M x 35.0M
CAL000,CAL000,Frontier FIOS,47.180.93.139,500.0M x 500.0M
CAL 01,CAL 01,Spectrum,76.83.31.54,600.0M x 35.0M
CAL 02,CAL 02,Spectrum,137.27.244.230,600.0M x 35.0M
CAL 03,CAL 03,GTT Ethernet,47.180.197.231,50.0M x 10.0M
CAL 04,CAL 04,Spectrum,137.27.235.102,600.0M x 35.0M
CAL 05,CAL 05,Spectrum,69.75.15.162,600.0M x 35.0M
CAL 06,CAL 06,Spectrum,173.196.167.10,600.0M x 35.0M
CAL 07,CAL 07,AT&T Broadband II,162.198.186.161,300.0M x 300.0M
CAL 08 (Formerly Cal 12),CAL 08,Spectrum,137.27.225.142,600.0M x 35.0M
CAL 09,CAL 09,Spectrum,98.152.191.174,600.0M x 35.0M
CAL 10,CAL 10,Spectrum,47.46.116.90,600.0M x 35.0M
CAL 11,CAL 11,Cox Business/BOI,184.188.125.168,300.0M x 30.0M
CAL 12,CAL 12,AT&T Broadband II,45.25.217.241,1000.0M x 1000.0M
CAL 13,CAL 13,EB2-Frontier Fiber,47.181.218.180,1000.0M x 1000.0M
CAL 14,CAL 14,One Ring Networks,72.34.90.78,300.0M x 30.0M
CAL 15,CAL 15,Spectrum,98.153.174.142,600.0M x 35.0M
CAL 18,CAL 18,Spectrum,47.46.116.74,600.0M x 35.0M
CAL 19,CAL 19,AT&T Broadband II,99.29.108.233,1000.0M x 200.0M
CAL 21,CAL 21,AT&T Broadband,23.114.69.105,45.0M x 6.0M
CAL 22,CAL 22,Spectrum,173.196.160.142,600.0M x 35.0M
CAL 23,CAL 23,Spectrum,24.199.26.158,600.0M x 35.0M
CAL 26,CAL 26,Spectrum,67.53.103.142,600.0M x 35.0M
