site_name,circuit_purpose,provider_name,speed_original,speed_corrected,ip_address,arin_provider,wan_interface,source,status,last_updated,needs_speed_fix,billing_monthly_cost,contract_start_date,contract_term,early_termination_fee
CAL 29,Secondary,VZW Cell,Cell,Cell,166.154.40.59,Verizon Business,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
CAL W01,Primary,Frontier Fiber,1000.0M x 1000.0M,1000.0M x 1000.0M,47.178.4.124,Frontier Communications Corporation,WAN1,Non-DSR,Enabled,2025-07-09 06:51:11.440971,False,0.0,,,
CAL W01,Secondary,Digi,Cell,Cell,107.84.140.107,"AT&T Enterprises, LLC",WAN2,Non-DSR,Enabled,2025-07-09 06:51:11.440971,False,0.0,,,
CAN_00,Primary,Comcast,300.0 M,300.0M x 30.0M,96.81.183.205,Comcast,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
CAN_00,Secondary,AT&T,300.0 M,300.0M x 300.0M,108.86.147.217,AT&T,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
CAN 16,Primary,Frontier Communications,500.0 M,500.0M x 500.0M,47.176.225.2,Frontier Communications,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
CAN 16,Secondary,Digi,Cell,Cell,166.184.156.31,Unknown,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
CAN 40,Primary,VZW Cell,Cell,Cell,166.253.101.36,Verizon Business,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
CAN 40,Secondary,Starlink,Satellite,Satellite,143.105.116.247,Unknown,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
CAN W02,Primary,"AT&T Enterprises, LLC",,,107.84.138.33,"AT&T Enterprises, LLC",WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
CAS_00,Primary,AT&T,300.0 M,300.0M x 300.0M,76.210.250.113,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
CAS_00,Secondary,Cox Communications,300.0 M,300.0M x 30.0M,98.178.226.110,Unknown,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
CAS 35,Primary,Frontier Communications,500.0 M,500.0M x 500.0M,47.176.206.178,Frontier Communications,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
CAS 35,Secondary,VZW Cell,Cell,Cell,192.168.0.151,Private IP,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
CAS 40,Primary,Frontier Communications,500.0 M,500.0M x 50.0M,47.179.21.123,Frontier Communications,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
CAS 40,Secondary,Digi,Cell,Cell,107.84.138.73,"AT&T Enterprises, LLC",WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
CAS 41,Primary,Frontier Communications,500.0 M,500.0M x 500.0M,47.176.225.10,Frontier Communications,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
CAS 41,Secondary,VZW Cell,Cell,Cell,166.248.9.55,Verizon Business,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
CAS 42,Primary,Cox Communications,,,72.211.52.244,Cox Communications,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
CAS 42,Secondary,VZW Cell,Cell,Cell,107.84.133.124,"AT&T Enterprises, LLC",WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
CAS 46,Primary,AT&T,20.0 M,20.0M x 20.0M,12.111.1.98,AT&T,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
CAS 46,Secondary,VZW Cell,Cell,Cell,166.248.10.66,Verizon Business,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
Central Store Test,Primary,Unknown,,,162.223.245.93,zColo,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
COD_00,Primary,"Comcast Cable Communications, LLC",,,173.164.63.45,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
COD_00,Secondary,"AT&T Enterprises, LLC",,,166.195.38.181,"AT&T Enterprises, LLC",WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
COD 01,Primary,Comcast,300.0 M,300.0M x 35.0M,96.78.2.33,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
COD 01,Secondary,Verizon Business,Cell,Cell,166.248.10.6,Unknown,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
COD 03,Primary,Comcast,300.0 M,300.0M x 35.0M,96.75.122.169,Comcast,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
COD 08,Primary,Comcast,300.0 M,300.0M x 35.0M,96.75.124.5,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
COD 09,Primary,Comcast,300.0 M,300.0M x 30.0M,96.75.102.5,Comcast,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
COD 13,Primary,Comcast,300.0 M,300.0M x 35.0M,96.76.170.93,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
COD 13,Secondary,VZW Cell,Cell,Cell,166.248.10.163,Verizon Business,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
COD 15,Primary,Comcast,,,96.90.174.117,Comcast,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
COD 15,Secondary,Verizon Business,Cell,Cell,166.248.10.149,Unknown,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
COD 17,Primary,Comcast,,,96.76.168.233,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
COD 17,Secondary,VZW Cell,Cell,Cell,166.248.10.102,Verizon Business,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
COD 22,Primary,"Comcast Cable Communications, LLC",,,74.92.221.65,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
COD 22,Secondary,VZW Cell,Cell,Cell,166.246.91.127,Verizon Business,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
COD 41,Primary,Lumen,300.0 M,300.0M x 300.0M,65.56.84.242,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
COD 41,Secondary,Verizon Business,Cell,Cell,166.156.147.159,Unknown,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
Cog 02,Primary,Comcast,750.0 M,750.0M x 35.0M,50.198.210.201,Comcast,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
Cog 02,Secondary,Community Broadband Network,100.0 M,100.0 M,74.114.7.176,Glenwood Springs Community Broadband Network,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
Corporate Store0,Primary,Corporate Store 0 Replica requested by Paul Higel Located in Endpoint Room Named MAR_01 in AD TEST STORE,,,184.183.25.158,Cox Communications Inc.,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
Desert Ridge,Primary,Cox Network 500 Circuit ID 23.HMXX.126497 Acct 2318296-02 AT&T ADI,100.0 M,100.0 M,98.175.209.47,Cox Communications,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
DR VTV Test Lab II,Primary,Unknown,,,98.175.209.47,Cox Communications,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
East Store Test,Primary,Unknown,,,73.7.36.236,"Comcast IP Services, L.L.C.",WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
EQX-DataCenter-WA,Primary,Unknown,,,149.97.240.36,"Equinix, Inc.",WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
EQX-DataCenter-WA,Primary,Unknown,,,149.97.240.36,"Equinix, Inc.",WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
EQX-OOB-WA-02,Primary,Unknown,,,0.0.0.0,Private IP,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
Flight Department,Primary,Cox Communications Inc.,,,70.175.22.38,Cox Communications,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
Flight Department,Secondary,VZW Cell,Cell,Cell,166.246.93.56,Verizon,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
Flight Department - Pilot,Primary,Cox Communications,,,68.227.44.114,Cox Communications,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
FP-DAL-OOBMGMT-01,Primary,Unknown,,,107.80.162.243,"AT&T Enterprises, LLC",WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
FP-DAL-OOBMGMT-02,Primary,Unknown,,,107.80.179.161,"AT&T Enterprises, LLC",WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
FP-iSeries-ATL,Primary,Unknown,,,209.51.139.244,zColo,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
FP-iSeries-DAL,Primary,Unknown,,,162.223.245.92,zColo,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
FP-iSeries-DAL,Primary,Unknown,,,162.223.245.92,zColo,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
GAACALLCNTR,Primary,AT&T,300.0 M,300.0M x 300.0M,104.184.151.49,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
GAACALLCNTR,Secondary,Charter Communications,100.0 M,100.0M x 30.0M,47.46.162.82,Unknown,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
GAA W00,Primary,AT&T Broadband II,300.0 M,300.0M x 30.0M,45.22.51.193,AT&T,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
GAA W00,Secondary,Digi,Cell,Cell,107.85.128.174,AT&T,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
HPL_00,Primary,This is a one man office for Todd Richards.,,,24.43.139.54,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
Igor Lab,Primary,Unknown,,,107.127.197.67,"AT&T Enterprises, LLC",WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
ILC_00,Primary,Comcast,300.0 M,300.0M x 30.0M,96.74.249.185,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
ILC_00,Secondary,AT&T,300.0 M,300.0M x 300.0M,107.209.6.145,Unknown,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
ILC 11,Primary,Comcast,300.0 M,300.0M x 35.0M,96.74.196.161,Comcast,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
ILC 12,Primary,Comcast,300.0 M,300.0M x 35.0M,96.68.37.73,Unknown,WAN1,Non-DSR,Enabled,2025-07-07 11:46:47.102071,True,0.0,,,
ILC 12,Secondary,Verizon Business,Cell,Cell,166.246.93.70,Unknown,WAN2,Non-DSR,Enabled,2025-07-07 11:46:47.102071,False,0.0,,,
