Site Name,Circuit Purpose,Status,IP Address,Circuits Table Provider,Circuits Table Speed,Enriched Network Name,Enriched Provider,Enriched Speed,DSR Provider,DSR Speed,Has Meraki Notes,Notes Preview
CAN 16,Primary,Customer Action Required,NaN,Spectrum,400.0M x 10.0M,CAN 16,Frontier Communications,500.0 M,,,Yes,"WAN 1
Frontier Communications
500.0M x 500.0M
WAN 2
Digi
Cell..."
CAN 25,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,CAN 25,Comcast,300.0 M,,,Yes,"WAN 1
Comcast
300.0M x 30.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
CAN 25,Secondary,Enabled,99.3.127.17,AT&T Broadband II,300.0M x 300.0M,CAN 25,AT&T Broadband II,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
Comcast
300.0M x 30.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
CAN 35,Primary,Information/Approval Needed From Sponsor,NaN,Comcast Workplace,500.0M x 30.0M,CAN 35,AT&T Broadband II,1000.0 M,,,Yes,"WAN 1
AT&T Broadband II	
1000.0M x 1000.0M
WAN 2
Comcast
1000.0M x 1000.0M..."
CAN 35,Secondary,Enabled,99.156.67.249,AT&T Broadband II,1000.0M x 1000.0M,CAN 35,Comcast,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II	
1000.0M x 1000.0M
WAN 2
Comcast
1000.0M x 1000.0M..."
CAS 35,Primary,Order Canceled,NaN,Spectrum,600.0M x 35.0M,CAS 35,Frontier Communications,500.0 M,,,Yes,WAN 1\nFrontier Communications\n500.0M x 500.0M\nWAN 2\nVZW Cell\nCell...
CAS 40,Primary,No Service Available,NaN,NSA ,,CAS 40,Frontier Communications,500.0 M,,,Yes,"WAN 1
Frontier Communications
500.0M x 50.0M
WAN 2
Digi
Cell..."
CAS 41,Primary,No Service Available,NaN,NSA,,CAS 41,Frontier Communications,500.0 M,,,Yes,"WAN 1
Frontier Communications
500.0M x 500.0M
WAN 2
VZW Cell
Cell..."
CAS 45,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,CAS 45,AT&T Broadband II,1000.0 M,,,Yes,"WAN 1
AT&T Broadband II	
1000.0M x 1000.0M
WAN 2
Digi
Cell..."
CAS 45,Secondary,Enabled,162.196.235.249,AT&T Broadband II,1000.0M x 1000.0M,CAS 45,Digi,Cell,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II	
1000.0M x 1000.0M
WAN 2
Digi
Cell..."
CAS 46,Secondary,Order Canceled,NaN,Spectrum,600.0M x 35.0M,CAS 46,VZW Cell,Cell,,,Yes,"WAN 1
AT&T
20.0M x 20.0M
WAN 2
VZW Cell
Cell..."
COD 01,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,COD 01,Comcast,300.0 M,,,Yes,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
Verizon Business..."
COD 01,Secondary,Order Canceled,NaN,NaN,,COD 01,Verizon Business,Cell,,,Yes,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
Verizon Business..."
COD 03,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,COD 03,Comcast,300.0 M,,,Yes,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
Unknown..."
COD 03,Secondary,No Service Available,NaN,NSA,,COD 03,Unknown,,,,Yes,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
Unknown..."
COD 08,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,COD 08,Comcast,300.0 M,,,Yes,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
Unknown..."
COD 08,Secondary,Order Canceled,NaN,NaN,,COD 08,Unknown,,,,Yes,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
Unknown..."
COD 09,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,COD 09,Comcast,300.0 M,,,Yes,"WAN 1
Comcast
300.0M x 30.0M
WAN 2
Unknown..."
COD 09,Secondary,No Service Available,NaN,NSA,,COD 09,Unknown,,,,Yes,"WAN 1
Comcast
300.0M x 30.0M
WAN 2
Unknown..."
COD 13,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,COD 13,Comcast,300.0 M,,,Yes,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
VZW Cell
Cell..."
COD 13,Secondary,Order Canceled,NaN,NaN,,COD 13,VZW Cell,Cell,,,Yes,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
VZW Cell
Cell..."
COD 23,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,COD 23,Comcast,300.0 M,,,Yes,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
EB2-Lumen DSL
100.0M x 10.0M..."
COD 23,Secondary,Enabled,67.40.43.129,EB2-Lumen DSL,100.0M x 10.0M,COD 23,EB2-Lumen DSL,100.0M x 10.0M,EB2-Lumen DSL,100.0M x 10.0M,Yes,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
EB2-Lumen DSL
100.0M x 10.0M..."
COD 38,Primary,Order Canceled,NaN,Comcast Workplace,250.0M x 25.0M,COD 38,CenturyLink,100.0 M,,,Yes,"WAN 1
CenturyLink
100.0M x 10.0M
WAN 2
Digi
Cell..."
COD 38,Secondary,Enabled,63.229.225.1,CenturyLink/Qwest,100.0M x 10.0M,COD 38,Digi,Cell,CenturyLink/Qwest,100.0M x 10.0M,Yes,"WAN 1
CenturyLink
100.0M x 10.0M
WAN 2
Digi
Cell..."
COD 41,Primary,Order Canceled,NaN,Comcast Workplace,300.0M x 30.0M,COD 41,Lumen,300.0 M,,,Yes,"WAN 1
Lumen
300.0M x 300.0M
WAN 2
Verizon Business..."
COD 41,Secondary,Order Canceled,NaN,NaN,,COD 41,Verizon Business,Cell,,,Yes,"WAN 1
Lumen
300.0M x 300.0M
WAN 2
Verizon Business..."
FLJ 00,Primary,Enabled,96.76.16.49,Comcast Workplace,300.0M x 30.0M,FLJ_00,Comcast,300.0 M,Comcast Workplace,300.0M x 30.0M,Yes,"WAN 1
Comcast
300.0M x 30.0M
WAN 2
AT&T
300.0M x 300.0M..."
FLJ 00,Secondary,Enabled,99.27.27.113,AT&T Broadband II,300.0M x 300.0M,FLJ_00,AT&T,300.0 M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
Comcast
300.0M x 30.0M
WAN 2
AT&T
300.0M x 300.0M..."
FLT 02,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,FLT 02,Comcast,300.0 M,,,Yes,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
MetroNet
300.0M x 300.0M..."
FLT 02,Secondary,Enabled,46.110.100.229,MetroNet,300.0M x 300.0M,FLT 02,MetroNet,300.0M x 300.0M,MetroNet,300.0M x 300.0M,Yes,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
MetroNet
300.0M x 300.0M..."
GAA 01,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,GAA 01,Comcast,300.0 M,,,Yes,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
GAA 01,Secondary,Enabled,75.52.168.161,AT&T Broadband II,300.0M x 300.0M,GAA 01,AT&T Broadband II,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
GAA 10,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,GAA 10,AT&T Broadband II,1000.0 M,,,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 30.0M..."
GAA 10,Secondary,Enabled,162.195.253.1,AT&T Broadband II,1000.0M x 1000.0M,GAA 10,Comcast,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 30.0M..."
GAA 12,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,GAA 12,AT&T Broadband II,1000.0 M,,,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M..."
GAA 12,Secondary,Enabled,104.188.254.185,AT&T Broadband II,1000.0M x 1000.0M,GAA 12,Comcast,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M..."
GAA 13,Primary,Information/Approval Needed From Sponsor,NaN,Comcast Workplace,,GAA 13,AT&T Broadband II,1000.0 M,,,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 30.0M..."
GAA 13,Secondary,Enabled,76.216.69.1,AT&T Broadband II,1000.0M x 1000.0M,GAA 13,Comcast,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 30.0M..."
GAA 14,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,GAA 14,Comcast,300.0 M,,,Yes,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
AT&T Broadband II
500.0M x 500.0M..."
GAA 14,Secondary,Enabled,107.130.209.169,AT&T Broadband II,1000.0M x 1000.0M,GAA 14,AT&T Broadband II,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
AT&T Broadband II
500.0M x 500.0M..."
GAA 15,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,GAA 15,AT&T Broadband II,1000.0 M,,,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M..."
GAA 15,Secondary,Enabled,162.205.233.145,AT&T Broadband II,1000.0M x 1000.0M,GAA 15,Comcast,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M..."
GAA 18,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,GAA 18,AT&T Broadband II,1000.0 M,,,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M..."
GAA 18,Secondary,Enabled,107.130.210.65,AT&T Broadband II,1000.0M x 1000.0M,GAA 18,Comcast,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M..."
GAA 21,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,GAA 21,AT&T Broadband II,1000.0 M,,,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast Cable Communications, LLC..."
GAA 21,Secondary,Enabled,108.209.103.225,AT&T Broadband II,1000.0M x 1000.0M,GAA 21,"Comcast Cable Communications, LLC",1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast Cable Communications, LLC..."
GAA 25,Primary,Information/Approval Needed From Sponsor,NaN,Comcast Workplace,,GAA 25,AT&T Broadband II,1000.0 M,,,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M..."
