Site Name,Circuit Purpose,Status,IP Address,Circuits Table Provider,Circuits Table Speed,Enriched Network Name,Enriched Provider,Enriched Speed,DSR Provider,DSR Speed,Has Meraki Notes,Notes Preview
GAA 25,Secondary,Enabled,162.235.81.185,AT&T Broadband II,1000.0M x 1000.0M,GAA 25,AT&T Broadband II,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M..."
GAA 27,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,GAA 27,AT&T Broadband II,1000.0 M,,,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast..."
GAA 27,Secondary,Enabled,162.235.50.185,AT&T Broadband II,1000.0M x 1000.0M,GAA 27,Comcast,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast..."
GAA 28,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,GAA 28,Comcast,300.0 M,,,Yes,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
GAA 28,Secondary,Enabled,99.8.195.153,AT&T Broadband II,300.0M x 300.0M,GAA 28,AT&T Broadband II,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
GAA 30,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,GAA 30,AT&T Broadband II,1000.0 M,,,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M..."
GAA 30,Secondary,Enabled,107.216.87.73,AT&T Broadband II,1000.0M x 1000.0M,GAA 30,Comcast,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M..."
GAA W00,Primary,Enabled/Disconnect Pending,45.22.51.193,AT&T Broadband II,1000.0M x 200.0M,GAA W00,AT&T Broadband II,300.0 M,,,Yes,"WAN 1
AT&T Broadband II
300.0M x 30.0M
WAN 2
Digi
Cell..."
GAA W00,Secondary,Order Canceled,NaN,Comcast Workplace,500.0M x 30.0M,GAA W00,Digi,Cell,,,Yes,"WAN 1
AT&T Broadband II
300.0M x 30.0M
WAN 2
Digi
Cell..."
GAA 00,Primary,Enabled,64.109.201.225,AT&T Broadband II,1000.0M x 1000.0M,GAA_00,AT&T,1000.0 M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T
1000.0M x 1000.0M
WAN 2
Comcast
750.0M x 35.0M..."
GAA 00,Secondary,Enabled,173.15.209.109,Comcast Workplace,750.0M x 35.0M,GAA_00,Comcast,750.0 M,Comcast Workplace,750.0M x 35.0M,Yes,"WAN 1
AT&T
1000.0M x 1000.0M
WAN 2
Comcast
750.0M x 35.0M..."
ILC 01,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,ILC 01,AT&T Broadband II,1000.0 M,,,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M..."
ILC 01,Secondary,Enabled,104.12.155.57,AT&T Broadband II,1000.0M x 1000.0M,ILC 01,Comcast,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M..."
ILC 02,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,ILC 02,Comcast Workplace,750.0 M,,,Yes,"WAN 1
Comcast Workplace
750.0M x 35.0M
WAN 2
Comcast Workplace
750.0M x 35.0M..."
ILC 02,Secondary,Enabled,96.81.226.89,Comcast Workplace,750.0M x 35.0M,ILC 02,Comcast Workplace,600.0M x 35.0M,Comcast Workplace,750.0M x 35.0M,Yes,"WAN 1
Comcast Workplace
750.0M x 35.0M
WAN 2
Comcast Workplace
750.0M x 35.0M..."
ILC 04,Primary,Information/Approval Needed From Sponsor,NaN,Comcast Workplace,,ILC 04,AT&T Broadband II,1000.0 M,,,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
ComcastAgg Comcast
300.0M x 35.0M..."
ILC 04,Secondary,Enabled,NaN,AT&T Broadband II,1000.0M x 1000.0M,ILC 04,ComcastAgg Comcast,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
ComcastAgg Comcast
300.0M x 35.0M..."
ILC 06,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,ILC 06,AT&T Broadband II,1000.0 M,,,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M..."
ILC 06,Secondary,Enabled,108.91.15.137,AT&T Broadband II,1000.0M x 1000.0M,ILC 06,Comcast,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M..."
ILC 09,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,ILC 09,Comcast,300.0 M,,,Yes,"WAN 1
Comcast
300.0M x 35.0M..."
ILC 09,Secondary,Enabled,104.4.89.113,AT&T Broadband II,1000.0M x 1000.0M,ILC 09,AT&T Broadband II,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
Comcast
300.0M x 35.0M..."
ILC 11,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,ILC 11,Comcast,300.0 M,,,Yes,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
Unknown..."
ILC 11,Secondary,No Service Available,NaN,NSA,,ILC 11,Unknown,,,,Yes,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
Unknown..."
ILC 12,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,ILC 12,Comcast,300.0 M,,,Yes,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
Verizon Business..."
ILC 12,Secondary,Information/Approval Needed From Sponsor,NaN,NaN,,ILC 12,Verizon Business,Cell,,,Yes,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
Verizon Business..."
ILC 15,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,ILC 15,AT&T Broadband II,1000.0 M,,,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast..."
ILC 15,Secondary,Enabled,172.125.39.129,AT&T Broadband II,1000.0M x 1000.0M,ILC 15,Comcast,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast..."
ILC 18,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,ILC 18,AT&T Broadband II,1000.0 M,,,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M..."
ILC 18,Secondary,Enabled,107.200.191.1,AT&T Broadband II,1000.0M x 1000.0M,ILC 18,Comcast,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M..."
ILC 19,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,ILC 19,AT&T Broadband II,1000.0 M,,,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M..."
ILC 19,Secondary,Enabled,162.229.147.233,AT&T Broadband II,1000.0M x 1000.0M,ILC 19,Comcast,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M..."
ILC 24,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,ILC 24,Comcast,300.0 M,,,Yes,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
AT&T Broadband II
1000.0M x 1000.0M..."
ILC 24,Secondary,Enabled,108.223.111.1,AT&T Broadband II,1000.0M x 1000.0M,ILC 24,AT&T Broadband II,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
AT&T Broadband II
1000.0M x 1000.0M..."
ILC 29,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,ILC 29,AT&T Broadband II,1000.0 M,,,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M..."
ILC 29,Secondary,Enabled,107.223.63.169,AT&T Broadband II,1000.0M x 1000.0M,ILC 29,Comcast,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M..."
ILP 01,Primary,Order Canceled,45.20.166.17,AT&T Broadband II,300.0M x 300.0M,ILP 01,i3 Broadband,250.0 M,,,Yes,"WAN 1
i3 Broadband
250.0M x 250.0M
WAN 2
Starlink
Satellite..."
ILP 01,Secondary,Enabled,140.141.187.98,i3 Broadband,250.0M x 250.0M,ILP 01,Starlink,250.0M x 250.0M,i3 Broadband,250.0M x 250.0M,Yes,"WAN 1
i3 Broadband
250.0M x 250.0M
WAN 2
Starlink
Satellite..."
ILR 01,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,ILR 01,Comcast,600.0 M,,,Yes,"WAN 1
Comcast
600.0M x 35.0M
WAN 2
Unknown..."
ILR 01,Secondary,Order Canceled,NaN,AT&T Broadband II,1000.0M x 1000.0M,ILR 01,Unknown,,,,Yes,"WAN 1
Comcast
600.0M x 35.0M
WAN 2
Unknown..."
INI 03,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,INI 03,AT&T Broadband II,300.0 M,,,Yes,"WAN 1
AT&T Broadband II
300.0M x 300.0M
WAN 2
Digi
Cell..."
INI 03,Secondary,Enabled,76.210.157.217,AT&T Broadband II,300.0M x 300.0M,INI 03,Digi,Cell,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
AT&T Broadband II
300.0M x 300.0M
WAN 2
Digi
Cell..."
INI 05,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,INI 05,ComcastAgg Comcast,300.0 M,,,Yes,"WAN 1
ComcastAgg Comcast
300.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
INI 05,Secondary,Enabled,75.61.116.233,AT&T Broadband II,300.0M x 300.0M,INI 05,AT&T Broadband II,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
ComcastAgg Comcast
300.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
INI 09,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,INI 09,Comcast,300.0 M,,,Yes,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
INI 09,Secondary,Enabled,107.220.40.169,AT&T Broadband II,300.0M x 300.0M,INI 09,AT&T Broadband II,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M..."
INW 01,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,INW 01,AT&T Broadband II,1000.0 M,,,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M..."
INW 01,Secondary,Enabled,99.39.182.185,AT&T Broadband II,1000.0M x 1000.0M,INW 01,Comcast,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M..."
INW 02,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,INW 02,Comcast,300.0 M,,,Yes,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
Digi
Cell..."
INW 02,Secondary,No Service Available,NaN,NSA,,INW 02,Digi,Cell,,,Yes,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
Digi
Cell..."
KSK 01,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,KSK 01,AT&T Broadband II,1000.0 M,,,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M..."
KSK 01,Secondary,Enabled,104.5.151.241,AT&T Broadband II,1000.0M x 1000.0M,KSK 01,Comcast,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M..."
MIA 17,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,MIA 17,D & P Communications,1000.0 M,,,Yes,"WAN 1
D & P Communications
1000.0M x 500.0M
WAN 2
Comcast..."
MIA 17,Secondary,Enabled,63.143.19.230,D & P Communications,1000.0M x 500.0M,MIA 17,Comcast,1000.0M x 500.0M,D & P Communications,1000.0M x 500.0M,Yes,"WAN 1
D & P Communications
1000.0M x 500.0M
WAN 2
Comcast..."
MID 05,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,MID 05,AT&T Broadband II,1000.0 M,,,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 25.0M..."
MID 05,Secondary,Enabled,108.85.101.97,AT&T Broadband II,1000.0M x 1000.0M,MID 05,Comcast,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 25.0M..."
MID 07,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,MID 07,AT&T Broadband II,1000.0 M,,,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M..."
MID 07,Secondary,Enabled,108.224.190.33,AT&T Broadband II,1000.0M x 1000.0M,MID 07,Comcast,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M..."
MID 09,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,MID 09,AT&T Broadband II,1000.0 M,,,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M..."
MID 09,Secondary,Enabled,99.95.104.17,AT&T Broadband II,1000.0M x 1000.0M,MID 09,Comcast,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M..."
MID 13,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,MID 13,AT&T Broadband II,1000.0 M,,,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M..."
MID 13,Secondary,Enabled,104.59.8.249,AT&T Broadband II,1000.0M x 1000.0M,MID 13,Comcast,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M..."
MID 14,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,MID 14,AT&T Broadband II,300.0 M,,,Yes,"WAN 1
AT&T Broadband II
300.0M x 300.0M
WAN 2
Comcast
300.0M x 35.0M..."
MID 14,Secondary,Enabled,76.227.245.41,AT&T Broadband II,300.0M x 300.0M,MID 14,Comcast,300.0M x 300.0M,AT&T Broadband II,300.0M x 300.0M,Yes,"WAN 1
AT&T Broadband II
300.0M x 300.0M
WAN 2
Comcast
300.0M x 35.0M..."
MID 16,Primary,Information/Approval Needed From Sponsor,NaN,NaN,,MID 16,AT&T Broadband II,1000.0 M,,,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M..."
MID 16,Secondary,Enabled,104.59.15.185,AT&T Broadband II,1000.0M x 1000.0M,MID 16,Comcast,1000.0M x 1000.0M,AT&T Broadband II,1000.0M x 1000.0M,Yes,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M..."
